"","TEHSIL","fertility","elevation","poverty","night_lights","distance_to_lakes_rivers","distance_to_cities","Population","child_population","population_density","radio","electricity","television","mobile_phone","card","antenatal_care","age","mothers_age","school_level","urban_to_rural","fac_number","edu_mode","penta3_in_clinic","penta3_out_clinic","OutreachProportion","TotalOutreachCoverage","TotalClinicsCoverage"
"39","GUJRAT",21.2148947071932,245.656519533232,0.341793599554082,0.540253013372421,12,7.76837303598581,1712431.64934912,170931.21485,12454176.3496126,0.0735009671179884,0.999033816425121,0.770793036750484,0.897584541062802,0.630434782608696,0.941818181818182,1.88591549295775,28.513358778626,3.56201550387597,0.353795411427913,49,4,8315,50727,0.85916804986281,0.296768498629787,0.048645298679336
"40","HAFIZABAD",12.3926948116234,204.44715984148,0.39742749788684,0.549189984798431,10,16.1327608982827,759653.780923654,80533.7246679999,7240882.89038518,0.0403458213256484,0.995677233429395,0.652737752161383,0.837175792507205,0.597402597402597,0.845360824742268,1.93528183716075,28.1626506024096,3.53857566765579,0.466228767999348,20,5,1385,23833,0.945078911888334,0.29593813148779,0.0171977641132291
"41","HAROONABAD",10.0743170035575,150.913621262458,0.717990648900131,0.579160988330841,0,26.1606080634501,580463.022131564,60382.327055,5539536.42389562,0.0512295081967213,0.969325153374233,0.633946830265849,0.867075664621677,0.405797101449275,0.864864864864865,2.00534759358289,28.4283801874163,3.40748440748441,0.395482109766192,23,4,1959,12251,0.862139338494018,0.202890491266443,0.032443267683533
"42","HASILPUR",7.99757803634948,139.206644518272,0.767006946631162,0.679390013217926,9,33.6009296148738,488766.676434788,52490.272549,4676149.02828913,0.0326295585412668,0.932950191570881,0.53742802303263,0.846743295019157,0.537037037037037,0.785234899328859,1.93939393939394,27.6456375838926,3.372460496614,0.395860672897108,11,2,2164,19017,0.897832963505028,0.362295699307858,0.0412266862965875
"43","HASSANABDAL",10.0531053142013,441.619402985075,0.409910406194516,0.590184986591339,0,15.1753731343284,259011.582947462,24474.180831,6992996.6165995,0.14207650273224,0.997275204359673,0.760217983651226,0.918478260869565,0.5,0.896551724137931,1.83206106870229,29.0974729241877,3.44324324324324,0.499311625967044,9,2,1841,3033,0.622281493639721,0.123926517538772,0.0752221295050707
"44","HAZRO",14.6748689976126,328.122448979592,0.384188449686324,NA,0,3.72222222222222,394443.487170477,37483.136946,10470510.2018422,0.0926430517711172,1,0.685636856368564,0.899728997289973,0.714285714285714,0.775280898876405,1.92888888888889,29.0372439478585,3.13220338983051,0.430206329859748,13,2,2551,6316,0.712304048719973,0.168502439086118,0.0680572707581837
"45","ISAKHEL",3.85726387076074,359.89270714013,0.567138132433455,0.713585019111633,32,39.4701834862385,405355.777674626,47867.176688,2234803.65568,0.109489051094891,0.951456310679612,0.727493917274939,0.895631067961165,0.351851851851852,0.848484848484849,2.018779342723,28.9084967320261,3.49137931034483,0.39886401821953,15,2,3251,10631,0.765811842673966,0.222093733860538,0.0679171036384731
"46","JAHANIAN",14.8109045342209,125.494065281899,0.656239061838105,0.41738098859787,0,22.3377976190476,383170.467001914,42344.949251,8204276.90990623,0.0325379609544469,0.980728051391863,0.661670235546039,0.946466809421842,0.6,0.84297520661157,2.1264367816092,28.8696925329429,3.44444444444444,0.374706588543067,12,2,2211,14763,0.869741958289148,0.348636620450109,0.0522140193602378
"47","JALALPUR PIRWALA",12.0566880997411,107.033505154639,0.737164352101968,0.521640494465828,13,19.3445017182131,557696.603168334,68094.118758,6877526.73576118,0.0579439252336449,0.929236499068901,0.473880597014925,0.839851024208566,0.56020942408377,0.716049382716049,2.06451612903226,28.3818407960199,3.2972027972028,0.438195757443632,17,2,2385,12818,0.843123067815563,0.18823945788261,0.0350250512599489
"48","JAMPUR",6.43492210463965,130.23630831643,0.774866388421399,0.803047001361847,15,63.692125718148,756182.458784765,103996.4326,3670751.78845908,0.146884272997033,0.819526627218935,0.439349112426036,0.794378698224852,0.172839506172839,0.644808743169399,2.20070422535211,27.7490683229814,3.48475609756098,0.381907989351119,20,2,3535,6548,0.649409897847863,0.062963698237472,0.0339915505909383
"49","JAND",2.8754149862062,360.239607975667,0.365268641270501,0.781081259250641,7,39.4317106152806,353289.81147523,35444.790588,1719515.08817499,0.141057934508816,0.964735516372796,0.768261964735516,0.904040404040404,0.641025641025641,0.845238095238095,1.9238578680203,29.5381679389313,3.56692913385827,0.407257389305571,16,4,3638,10040,0.734025442316128,0.283257421850846,0.102638496084998
"50","JARANWALA",17.2539441114991,186.99531516184,0.505709664861226,0.457436998685201,0,10.1933560477002,1652980.90246013,171679.350798,10097420.478885,0.028971028971029,0.99500998003992,0.738522954091816,0.859140859140859,0.4375,0.903474903474903,2.07213578500707,28.6317204301075,3.41761658031088,0.445220697301888,49,2,4110,54610,0.930006811989101,0.318093001552964,0.02393997869223
"51","JATOI",12.5703086666654,107.604046242775,0.797301949212625,0.685627996921539,5,33.823571945047,684254.359755888,95308.801006,7109926.28041582,0.0612959719789842,0.84965034965035,0.386363636363636,0.715034965034965,0.309352517985612,0.715083798882682,2.08961303462322,27.7533092659446,3.40677966101695,0.410036674548912,14,2,2343,4413,0.653197158081705,0.0463021248134492,0.0245832491361684
"52","JHANG",10.2483919432994,158.666199943993,0.518708268948811,0.478821240365505,19,25.7605712685522,1437355.47317362,151428.027882,5807243.32921796,0.0288909599254427,0.931966449207829,0.447761194029851,0.776328052190121,0.265573770491803,0.672025723472669,1.9402390438247,28.3454935622318,3.28153846153846,0.33535502861798,43,2,3783,55743,0.936447938715855,0.368115472278604,0.0249821651441429
"53","JHELUM",11.754995268914,254.892601431981,0.311320248964514,0.627278983592987,26,28.0885167464115,470251.868497465,43637.189716,8090524.56392314,0.129411764705882,0.996638655462185,0.853781512605042,0.92436974789916,0.8125,0.935483870967742,1.93732970027248,28.9,3.59926017262639,0.45984832647576,12,4,3205,13353,0.806437975600918,0.306000457107896,0.0734465262510903
"54","KABIRWALA",11.5776074196935,134.215467143496,0.609282069377831,0.509811997413635,21,18.54850245865,1055374.01711902,113869.162217,6816677.48173688,0.032520325203252,0.921022067363531,0.451800232288037,0.868757259001161,0.437229437229437,0.811926605504587,2.16129032258065,28.2332580887886,3.41242937853107,0.446520709754622,37,2,1717,43387,0.96193242284498,0.381025021658784,0.0150787093412343
"55","KAHUTA",6.26535334275512,749.786713286713,0.397453931015737,0.626815021038055,17,22.1761960326721,222907.847784768,21380.837667,3745560.69360357,0.11353711790393,0.980392156862745,0.814814814814815,0.92156862745098,0.761194029850746,0.925,2.15983606557377,29.1858678955453,3.71534195933457,0.422397194036126,11,5,2008,8165,0.802614764572889,0.381884008810477,0.0939158713645361
"56","KALLAR KAHAR",4.97022743032457,652.177083333333,0.401969758390759,0.59068751335144,0,31.7202432667246,201663.379429625,18409.977316,2525229.1981239,0.0787746170678337,0.925764192139738,0.72707423580786,0.860262008733624,0.5,0.958904109589041,2.02955665024631,28.2327044025157,3.51020408163265,0,9,2,681,6563,0.905991165102153,0.356491476732898,0.0369908114665707
"57","KALLAR SAYYEDAN",8.872146386897,547.5625,0.473271808428008,NA,8,16.3567073170732,266182.997026331,25499.343355,5845928.31602495,0.205179282868526,0.99403578528827,0.795228628230616,0.916500994035785,0.735849056603774,0.95959595959596,1.98540145985401,28.707756232687,3.50709219858156,0,10,4,2542,4312,0.629121680770353,0.169102393734954,0.0996888415756618
"58","KALUR KOT",3.69959843883136,187.389004581424,0.692787295428478,0.603515684604645,12,48.0387338608913,352736.391888435,39069.739409,2112105.45145124,0.0666666666666667,0.961290322580645,0.481720430107527,0.838709677419355,0.545454545454545,0.771186440677966,1.91349480968858,27.9859813084112,3.32258064516129,0.377358400227881,12,2,906,10366,0.919623846699787,0.265320428464699,0.0231893023527896
"59","KAMALIA",13.1003360401554,150.145321831453,0.426588146101172,0.491186007857323,59,16.7905897945659,794717.610744163,81045.712255,7573811.39649929,0.0521472392638037,0.973966309341501,0.633996937212864,0.834609494640122,0.42,0.780487804878049,2.00936768149883,28.4188596491228,3.31123388581952,0.385020384311679,22,2,1929,22036,0.919507615272272,0.271895938562012,0.0238013825324978
"60","KAMOKE",17.0677250594441,217.852721451441,0.461653907759449,0.620492994785309,0,17.8397435897436,629039.9434782,72326.632075,9728357.27224646,0.0267857142857143,0.998217468805704,0.768270944741533,0.907308377896613,0.617977528089888,0.955801104972376,2.00392927308448,27.2340659340659,3.48613138686131,0.412570456503052,16,4,2883,19679,0.8722187749313,0.272085114921342,0.0398608357293678
"61","KAROR LAL ESAN",7.74586041525577,154.579979360165,0.782425346048837,0.521723017096519,7,31.7257731958763,578013.580189006,68638.690645,4307403.9653215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,5621,18258,0.764604882951547,0.266001577658737,0.0818925877982124
"62","KARORPACCA",14.5738009155671,121.756558237146,0.718101041934275,0.664416015148163,0,14.5702306079665,557772.793819058,65340.700679,8387827.8631043,0.0500848896434635,0.899067005937235,0.490245971162002,0.867684478371501,0.471186440677966,0.761437908496732,2.04055766793409,28.2030629608622,3.29228998849252,0.396925684909106,14,2,1708,24708,0.93534221683828,0.37814103220875,0.02613990946303
"63","KASUR",16.9582945578705,198.435525634386,0.558134469832923,0.536660015583038,15,17.4294385432473,1196462.03287881,138174.490488,8730109.52772427,0.0246360582306831,0.961926091825308,0.508398656215006,0.744107744107744,0.337142857142857,0.728744939271255,1.86547811993517,27.2864038616251,3.31888544891641,0.426555251128754,33,2,4611,34399,0.881799538579851,0.248953333415674,0.0333708485822168
"64","KHAIRPUR TAMEWALI",7.53952286256847,128.052523171988,0.739989363484912,0.700109004974365,15,26.3374485596708,291672.648054711,33276.460738,4324645.48635024,0.0609037328094303,0.905882352941176,0.484313725490196,0.762745098039216,0.561224489795918,0.848,2.05538461538462,28.0690647482014,3.16115702479339,0.388756637406736,9,2,1158,13601,0.921539399688326,0.408727361575096,0.0347993739213264
"65","KHAN PUR",6.88688410145731,88.0316797642436,0.730952049375694,0.695508256554604,10,20.4440789473684,1048763.66231431,37125.542943,3712233.28455198,0.0428061831153389,0.945368171021378,0.568883610451306,0.794292508917955,0.549450549450549,0.739495798319328,2.10470409711684,27.5518905872888,3.37639553429027,0.424440484498481,31,2,2870,16161,0.849193421260049,0.435306765070412,0.0773052667379545
"66","KHANEWAL",14.8592504015005,135.978829389788,0.593448267685966,0.476731508970261,0,25.406600249066,956998.913279235,103613.42663,8569225.17552452,0.114001530221882,0.967275494672755,0.641768292682927,0.862490450725745,0.52972972972973,0.823353293413174,2.04927211646137,28.1115342763874,3.4475138121547,0.435373614914077,24,2,2013,41850,0.954107106217085,0.403905182572959,0.019427984050642
"67","KHARIAN",17.3720437004063,266.914857142857,0.272027804527438,0.602850675582886,0,13.2612921669525,1228494.92753749,118834.551693,10118294.4621887,0.0976645435244161,0.996815286624204,0.835456475583864,0.916135881104034,0.776119402985075,0.952941176470588,1.9304897314376,28.6367491166078,3.58269065981148,0.381697304034743,44,4,7115,34828,0.830365019192714,0.293079744096443,0.0598731589309232
"68","KHUSHAB",4.96747810285667,400.187176325524,0.470376669537418,0.709342610836029,19,36.8244143033292,786420.290120764,80840.7529339999,2787531.98572335,0.0961538461538462,0.975274725274725,0.65474552957359,0.853021978021978,0.62962962962963,0.883977900552486,2.01702127659574,28.2890909090909,3.36220472440945,0.434166602008403,28,2,2144,30775,0.934870439563778,0.380686706680297,0.026521276982049
"69","KOT ADDU",7.29655732215237,131.280578898226,0.775734707288771,0.609080334504445,11,37.4456115779645,1270011.27799058,164612.786578,4272402.79773345,0.0554298642533937,0.857466063348416,0.398190045248869,0.820135746606335,0.573099415204678,0.633440514469453,2.0313630880579,28.1452991452991,3.21960072595281,0.347509683674855,23,2,5830,12940,0.689397975492808,0.0786087172752435,0.0354164468094799
"70","KOT MOMIN",9.37865083200889,193.041530944625,0.503157567360467,0.529287993907928,9,16.094616639478,405362.808647545,41158.438303,4760993.93930627,0.0552147239263804,0.985685071574642,0.515337423312883,0.830265848670757,0.575757575757576,0.72463768115942,2,28.490780141844,3.15322580645161,0.37428518097654,15,2,1934,8743,0.818862976491524,0.212423025762927,0.0469891492423082
"71","KOT RADHA KISHAN",18.2325032775643,201.678694158076,0.590644170482134,0.436650007963181,0,12.3831615120275,585009.117032675,67443.800969,14454885.1386636,0.0296442687747036,0.988165680473373,0.594861660079051,0.846153846153846,0.55,0.704347826086957,2.10769230769231,27.246879334258,3.56775700934579,0.366247071071665,17,5,2176,12873,0.855405674795668,0.190870025340312,0.0322638992574007
"72","KOTLI SATTIAN",6.6045068423418,1115.33137254902,0.572570921331936,NA,4,33.6125244618395,133213.733446096,13296.256663,3723779.04186329,0.103950103950104,0.881742738589212,0.441908713692946,0.9149377593361,0.760416666666667,0.875,2.092,28.1338461538462,3.49333333333333,0,8,4,567,2883,0.835652173913043,0.216827944365923,0.0426435811500099
"73","LAHORE CANTT",97.1444365739651,213.373295046662,0.435267549215683,0.433680504560471,2,4.52401129943503,5747961.1854847,533926.409881999,58710098.2335436,0.0374940673943996,0.996680891417734,0.806451612903226,0.871028923660503,0.554179566563467,0.838926174496644,2.01602564102564,27.5269102990033,3.67457305502846,0.561082857286837,28,5,4635,63055,0.931526074752548,0.118096799171136,0.00868097159873467
"74","LAHORE CITY",100.92968567646,204.881489841986,0.421466556828146,0.496796011924744,20,2.59864712514092,4046471.16510858,382745.87535,65338495.7578342,0.0382432028682402,0.99791169451074,0.857356013130409,0.922755741127349,0.650224215246637,0.9102416570771,1.95070743952533,28.3021105527638,3.85087055261166,0.695545320064698,16,5,9517,65012,0.872304740436609,0.169856827171684,0.0248650622068683
