,TEHSIL,OBJECTID,PROVINCE,DISTRICT,SHAPE_Leng,Area_Sq_Km,Shape_Le_1,Shape_Area,id,total_teh_obs,Preschool,Primary,Middle,Matric,Above
47,JALALPUR PIRWALA,368,PUNJAB,MULTAN,1.583604182,871.275607,1.583604183,0.081089703,365,286,0,0.377622378,0.164335664,0.241258741,0.216783217
48,JAMPUR,393,PUNJAB,RAJANPUR,2.288839863,2212.121987,2.288839863,0.206002068,390,328,0.006097561,0.298780488,0.182926829,0.228658537,0.283536585
49,JAND,292,PUNJAB,ATTOCK,3.181302985,2122.889961,3.181302987,0.205458977,290,381,0.005249344,0.270341207,0.144356955,0.312335958,0.267716535
50,JARANWALA,322,PUNJAB,FAISALABAD,2.29158472,1733.365502,2.291584722,0.163703285,320,965,0.004145078,0.303626943,0.193782383,0.267357513,0.231088083
51,JATOI,373,PUNJAB,MUZAFFARGARH,1.722912986,1033.167233,1.722912985,0.096239304,370,295,0,0.342372881,0.166101695,0.233898305,0.257627119
52,JHANG,337,PUNJAB,JHANG,3.519360407,2615.343305,3.519360399,0.247510805,335,650,0.007692308,0.390769231,0.144615385,0.226153846,0.230769231
53,JHELUM,340,PUNJAB,JHELUM,2.178284953,605.6970968,2.178284956,0.05812378,338,811,0.011097411,0.257706535,0.141800247,0.299630086,0.289765721
54,KABIRWALA,348,PUNJAB,KHANEWAL,2.096329038,1649.337823,2.096329038,0.154822349,346,708,0,0.303672316,0.210451977,0.255649718,0.230225989
55,KAHUTA,397,PUNJAB,RAWALPINDI,1.308554849,614.7388379,1.30855485,0.059512545,394,541,0.001848429,0.219963031,0.155268022,0.306839187,0.316081331
56,KALLAR KAHAR,311,PUNJAB,CHAKWAL,1.518710344,831.6598444,1.518710344,0.079859436,309,490,0,0.279591837,0.187755102,0.275510204,0.257142857
57,KALLAR SAYYEDAN,398,PUNJAB,RAWALPINDI,1.382076509,471.2151287,1.382076508,0.045533059,395,564,0,0.262411348,0.209219858,0.287234043,0.241134752
58,KALUR KOT,307,PUNJAB,BHAKKAR,1.938066912,1749.697323,1.938066912,0.167006998,305,310,0.006451613,0.364516129,0.164516129,0.229032258,0.235483871
59,KAMALIA,420,PUNJAB,TOBA TEK SINGH,2.226345171,1117.021028,2.225943378,0.104929681,552,543,0.001841621,0.349907919,0.213627993,0.20441989,0.230202578
60,KAMOKE,327,PUNJAB,GUJRANWALA,1.649437777,681.3004499,1.649437774,0.064660448,325,685,0.004379562,0.255474453,0.227737226,0.274452555,0.237956204
61,KAROR LAL ESAN,357,PUNJAB,LAYYAH,1.771936617,1417.970671,1.771936618,0.134190706,354,NA,NA,NA,NA,NA,NA
62,KARORPACCA,360,PUNJAB,LODHRAN,1.694936498,714.550969,1.694936501,0.066497883,357,869,0.010356732,0.349827388,0.192174914,0.232451093,0.215189873
63,KASUR,344,PUNJAB,KASUR,2.922866467,1458.187474,2.922866472,0.13705006,342,646,0.003095975,0.326625387,0.229102167,0.230650155,0.210526316
64,KHAIRPUR TAMEWALI,303,PUNJAB,BAHAWALPUR,1.748005434,725.3348086,1.748005434,0.067444291,301,242,0.02892562,0.417355372,0.119834711,0.231404959,0.202479339
65,KHAN PUR,388,PUNJAB,RAHIM YAR KHAN,3.510491623,3064.414866,3.510491625,0.282515559,385,627,0.001594896,0.323763955,0.19138756,0.263157895,0.220095694
66,KHANEWAL,349,PUNJAB,KHANEWAL,1.862525465,1192.841769,1.862525472,0.111678582,347,1086,0.009208103,0.307550645,0.186003683,0.220994475,0.276243094
