"","TEHSIL","DISTRICT","PROVINCE","X","Y","Shape_Le_1","Shape_Area","Population","Child Population","Population Density","Poverty","Births","Fertiltiy","Malaria Instance","Distance to Lakes Rivers","Night Lights","Elevation","Children Urban","Women Urban","Household Urban","Urban to Rural Ratio","Radio Instance","Electricity Instance","Television Instance","Mobile Phone Instance","Vacc Card Instance","School Enrolled","Antenatal Care","Child Age","Mother Age","Maternal Education","Num Total Clinics","Penta 1 Total","Penta 3 Total","Penta 1 Per Capita","Penta 3 Per Capital","Penta From Clinic","PentaFromOutreach","TotalClinicsCoverage","TotalOutreachCoverage","TotalFromUnknownCoverage","OutreachClinicRatio"
"26","DINA","JHELUM","PUNJAB",73.5432394562014,33.0126900904884,2.12108622953,0.0696878980999,361625.820499438,33716.820729,5189219.79797747,0.342821570057533,9826.51860739291,9.87589809788232,0,33716.820729,0.342821570057533,331.480519480519,0.382789317507418,0.332464146023468,0.323076923076923,0.34611012886927,0.14161220043573,0.997826086956522,0.83695652173913,0.915217391304348,0.903846153846154,0.850507982583454,0.873873873873874,1.91379310344828,29.0246734397678,3.55460750853242,0,14098,13968,0.418129577320267,0.414273935026918,81,398,0.0640629796433379,0.132752730038695,0.245189191070127,0.792845497266711
"27","DUNYA PUR","LODHRAN","PUNJAB",71.7241646818378,29.8264795211161,1.79712404092,0.0752333544217,527545.66001912,59155.96614,7012124.66298002,0.706751694190084,13376.4684288502,12.3741613587883,0,59155.96614,0.706751694190084,120.008310249307,0.460144927536232,0.388305847076462,0.36,0.402816924870898,0.0560165975103734,0.946058091286307,0.510373443983402,0.898340248962656,0.203883495145631,0.47581903276131,0.945054945054945,2.07258064516129,28.2979719188768,3.41639344262295,0,24410,24284,0.412638007504276,0.410508044827277,86,315,0.0469267967567337,0.123385695074712,0.244607618541043,0.83903513858286
"28","FAISALABAD CITY","FAISALABAD","PUNJAB",73.0931340340121,31.4285094450161,0.711983255277,0.0190071083942,3306004.27715914,318990.430656,173935151.449337,0.357460750987495,34311.779219389,125.684172964795,0,318990.430656,0.357460750987495,183.769230769231,0.49644128113879,0.530944625407166,0.5546875,0.527357802181985,0.037344398340249,0.998618784530387,0.795580110497238,0.893572909467864,0.537313432835821,0.745308310991957,0.916216216216216,1.98033126293996,28.1233243967828,3.5620875824835,25,128290,116384,0.40217507382956,0.364851070173665,0,2237,0.00292485262984628,0.118063102778822,0.251487167922324,0.988503480993161
"29","FATEH JANG","ATTOCK","PUNJAB",72.6693239545131,33.5210962732165,1.8809221135,0.126920035436,338325.102530492,30952.700811,2665655.59462906,0.488432604837847,8657.77657535672,4.7181343734914,0,30952.700811,0.488432604837847,480.145981410607,0.43,0.418604651162791,0.428571428571429,0.425725359911406,0.098159509202454,0.997955010224949,0.777096114519427,0.895918367346939,0.464285714285714,0.635714285714286,0.834862385321101,1.92779783393502,29.1242857142857,3.49887640449438,15,11826,13112,0.382066820992799,0.423614083955486,0,18,0.122154122287652,0.0980528328862798,0.21381009820145,0.636407346860275
"30","FEROZEWALA","SHEIKHUPURA","PUNJAB",74.1891301550902,31.665448146197,1.41514858,0.0435004213713,656705.667221647,75287.323317,15096535.7695343,0.34669311486765,11891.2445214987,18.815260318827,13,75287.323317,0.34669311486765,207.798412698413,0.410596026490066,0.458980044345898,0.473741794310722,0.447772621715562,0.0659062103929024,0.988607594936709,0.80379746835443,0.872151898734177,0.369369369369369,0.598851517637408,0.845559845559846,2.033527696793,27.4232977850697,3.31917808219178,13,31342,27458,0.416298503109659,0.36470947286022,2,602,0.0426366599126413,0.11320630916992,0.22902926070831,0.843054808585538
"31","FORT ABBAS","BAHAWALNAGAR","PUNJAB",72.671287356831,29.077539265158,2.75161484294,0.222078140748,453544.081434717,49017.089091,2042272.50780782,0.862599338623605,11109.3113803864,3.49679300610209,80,49017.089091,0.862599338623605,139.115845959596,0.309090909090909,0.333733493397359,0.330909090909091,0.324577831132453,0.0573122529644269,0.925343811394892,0.463654223968566,0.868369351669941,0.394736842105263,0.631506849315069,0.728476821192053,2.00252525252525,28.5095890410959,3.25162689804772,18,11255,8953,0.229613798140994,0.18265058505165,13,60,0.012322233147682,0.0466775984137356,0.121916664388323,0.908206686930091
"32","GOJRA","TOBA TEK SINGH","PUNJAB",72.630136899813,31.1467080077998,1.76805820536,0.0652422067394,773022.286900879,78593.891243,11848500.0053508,0.404059277096791,18921.9491052628,20.1297330907051,0,78593.891243,0.404059277096791,166.452025586354,0.432377049180328,0.423371647509579,0.428571428571429,0.428106708420445,0.0570032573289902,0.996742671009772,0.737785016286645,0.907166123778502,0.425,0.721973094170404,0.872611464968153,2.01243781094527,28.377802690583,3.51863354037267,26,28405,27994,0.361414857449623,0.356185443388303,0,466,0.0363387020903405,0.133878089423867,0.182851361253601,0.834213734254368
"33","GUJAR KHAN","RAWALPINDI","PUNJAB",73.2832560484761,33.2536191844335,2.32020822135,0.142837678932,778249.290445082,74683.8780079999,5448487.37576854,0.365778209871465,19345.9934607297,9.39125896151928,0,74683.8780079999,0.365778209871465,485.492464754497,0.336206896551724,0.363709677419355,0.343991179713341,0.34796925122814,0.119311193111931,0.997542997542998,0.871007371007371,0.950920245398773,0.685714285714286,0.831470335339639,0.952380952380952,1.95881006864989,29.0868443680138,3.65460186142709,30,27342,24133,0.366103109925159,0.323135335813908,179,341,0.0829362395902435,0.0677656294101102,0.179436316879053,0.683898953814749
"34","GUJRANWALA","GUJRANWALA","PUNJAB",74.3328185988973,32.1513839468913,2.0700853658,0.0748688664227,1954167.9054167,202554.857639,26101208.67042,0.4308406999326,38529.844039917,35.9420186939524,0,202554.857639,0.4308406999326,221.746031746032,0.414765906362545,0.423937007874016,0.444673185795162,0.427792033343908,0.0487152034261242,0.996264674493063,0.802027748132337,0.894230769230769,0.527675276752767,0.773883161512028,0.928952042628774,1.96864576384256,27.5824742268041,3.61466666666667,36,65712,56580,0.324415818835183,0.279331735903558,135,924,0.026210183561541,0.0801659372145984,0.178183828424023,0.87176638245453
"35","GUJRANWALA CITY","GUJRANWALA","PUNJAB",74.1887574207715,32.1546149234012,0.472759843897,0.00755086143794,1045031.63260231,108260.926158,138398994.762565,0.296845043197684,31712.9477844238,296.382689574054,0,108260.926158,0.296845043197684,223.816513761468,1,1,1,1,0.0147058823529412,1,0.955882352941177,0.967647058823529,0.75,0.780632411067194,0.9875,1.95652173913043,27.9802371541502,3.80253164556962,28,70848,64223,0.654418935014484,0.59322418788724,0,1041,0.00935702322111664,0.168491076580838,0.424169657785683,0.978416499765628
