"","Tehsil","OBJECTID","PROVINCE","DISTRICT","TEHSIL","SHAPE_Leng","Area_Sq_Km","Shape_Le_1","Shape_Area","id","fertility","elevation","poverty","night_lights","distance_to_lakes_rivers","malaria_instance","Population","child_population","population_density"
"60","KHANEWAL",349,"PUNJAB","KHANEWAL","KHANEWAL",1.86252546523,1192.84176893,1.86252547199,0.111678581631,"347",14.8592504015005,135.978829389788,0.593448267685966,0.476731508970261,0,0,956998.913279235,103613.42663,8569225.17552452
"61","KHARIAN",331,"PUNJAB","GUJRAT","KHARIAN",1.7655625208,1267.41775713,1.76556251931,0.121413241345,"329",17.3720437004063,266.914857142857,0.272027804527438,0.602850675582886,0,0,1228494.92753749,118834.551693,10118294.4621887
"62","KHUSHAB",351,"PUNJAB","KHUSHAB","KHUSHAB",3.21807433133,2948.08275164,3.21807433131,0.282120633646,"348",4.96747810285667,400.187176325524,0.470376669537418,0.709342610836029,19,0,786420.290120764,80840.7529339999,2787531.98572335
"63","KOT ADDU",374,"PUNJAB","MUZAFFARGARH","KOT ADDU",2.80958609351,3165.65535949,2.80958609222,0.297259256235,"371",7.29655732215237,131.280578898226,0.775734707288771,0.609080334504445,11,0,1270011.27799058,164612.786578,4272402.79773345
"64","KOT MOMIN",406,"PUNJAB","SARGODHA","KOT MOMIN",1.45493377696,893.807035936,1.45493377581,0.085142475251,"403",9.37865083200889,193.041530944625,0.503157567360467,0.529287993907928,9,0,405362.808647545,41158.438303,4760993.93930627
"65","KOT RADHA KISHAN",345,"PUNJAB","KASUR","KOT RADHA KISHAN",1.07500856646,429.961468623,1.07500856362,0.0404713777675,"343",18.2325032775643,201.678694158076,0.590644170482134,0.436650007963181,0,0,585009.117032675,67443.800969,14454885.1386636
"66","LAHORE CANTT",354,"PUNJAB","LAHORE","LAHORE CANTT",1.89688566457,1037.43841716,1.8506433392,0.0979041316303,"351",97.1444365739651,213.373295046662,0.435267549215683,0.433680504560471,2,0,5747961.1854847,533926.409881999,58710098.2335436
"67","LAHORE CITY",355,"PUNJAB","LAHORE","LAHORE CITY",1.78899013741,656.331330988,1.78899013568,0.0619308895648,"352",100.92968567646,204.881489841986,0.421466556828146,0.496796011924744,20,0,4046471.16510858,382745.87535,65338495.7578342
"68","LAYYAH",358,"PUNJAB","LAYYAH","LAYYAH",2.08339814632,2022.48850758,2.08339814457,0.190730581555,"355",8.22968743467725,143.918122270742,0.803858380351103,0.538433492183685,12,0,926461.639293318,111275.224685,4857436.24194927
"69","LIAQAT PUR",389,"PUNJAB","RAHIM YAR KHAN","LIAQAT PUR",4.52230198472,4644.39522721,4.52230198127,0.427832750092,"386",3.6612256606489,103.690920903037,0.785420007935891,-0.169385999441147,27,0,1074599.23528889,135377.486603,2511727.38659631
"70","LODHRAN",361,"PUNJAB","LODHRAN","LODHRAN",1.8860463158,1142.96395348,1.88604631292,0.106353191974,"358",12.0645061721256,113.374269005848,0.719163956271897,0.579686999320984,1,0,738958.875980634,93686.087937,6948158.8870533
"71","MAILSI",423,"PUNJAB","VEHARI","MAILSI",2.7438280031,1600.70171242,2.74382800834,0.149272386179,"419",12.6990715729791,128.910399257196,0.582089919621123,0.642292002836863,18,0,1094751.01735209,123843.386551,7333915.16927529
"72","MALAKWAL",362,"PUNJAB","MANDI BAHAUDDIN","MALAKWAL",1.49364609961,749.137191113,1.49364609732,0.0716019165719,"359",10.97057636229,207.50486381323,0.492311482386598,0.54091902077198,0,0,459967.630712298,45939.431718,6423956.96559903
"73","MANDI BAHAUDDIN",363,"PUNJAB","MANDI BAHAUDDIN","MANDI BAHAUDDIN",1.3554163592,878.770324106,1.35541635726,0.0840603532713,"360",15.2606184642256,215.44921552436,0.368566097022579,0.594610512256622,0,0,733320.960326056,74073.443478,8723743.49842791
"74","MANKERA",308,"PUNJAB","BHAKKAR","MANKERA",2.75352050749,3560.98494102,2.75352050637,0.33758009463,"306",1.39704105544855,165.380275890467,0.789757089519206,0.855600506067276,0,0,266035.780844551,28544.857904,788067.143402327
"75","MIAN CHANNU",350,"PUNJAB","KHANEWAL","MIAN CHANNU",1.95870851483,1025.93116554,1.95830672507,0.0961376073697,"553",15.472146377677,144.895608351332,0.531397115248755,0.484041005373001,2,0,853017.947031451,91008.31317,8872885.13173773
"76","MIANWALI",366,"PUNJAB","MIANWALI","MIANWALI",2.77735101538,2952.13457317,2.77735101746,0.283593037576,"363",4.99457535516311,293.39842983317,0.513974833114839,0.710257162650426,11,0,831826.860475466,88559.4433070001,2933170.9536506
