"","OBJECTID","PROVINCE","DISTRICT","TEHSIL","SHAPE_Leng","Area_Sq_Km","Shape_Le_1","Shape_Area","id","penta1_in_clinic","penta3_in_clinic","penta1_out_clinic","penta3_out_clinic","penta1_ratio","penta3_ratio","OutreachClinicRatio","vaccinations","penta1","penta2","penta3"
"325",327,"PUNJAB","GUJRANWALA","KAMOKE",1.64943777675,681.300449904,1.64943777354,0.0646604484061,"325",1345,3301,-19863,27376,-0.0726320336969435,-0.0797148764827511,-13.5447098976109,0,7334,7477,8042
"326",328,"PUNJAB","GUJRANWALA","NOWSHERA VIRKHAN",1.5262022411,881.919645229,1.52620223534,0.0837694784389,"326",1354,2032,-19747,20876,-0.0736149622138857,-0.0792120454680712,-13.6243425995492,0,9427,9333,9375
"327",329,"PUNJAB","GUJRANWALA","WAZIRABAD",1.7500991754,1211.96739087,1.75009917712,0.115534829789,"327",6855,10241,-139607,31304,-0.0516376401108835,-0.0515207061629087,-20.4096718480138,0,15985,15685,15359
"328",330,"PUNJAB","GUJRAT","GUJRAT",2.02288037035,1437.93113871,2.02288036826,0.137498586922,"328",5308,9853,-73701,64697,-0.0776102817539807,-0.0799847466514133,-13.5023837902265,0,15839,15694,15772
"329",331,"PUNJAB","GUJRAT","KHARIAN",1.7655625208,1267.41775713,1.76556251931,0.121413241345,"329",4915,8329,-86642,44670,-0.0601392440686676,-0.065354573937602,-16.3011478730587,0,22391,22470,22132
"330",332,"PUNJAB","GUJRAT","SARAI ALAMGIR",1.30402385078,485.812193152,1.30402384861,0.0466285051914,"330",2172,2646,-48932,11198,-0.0464499572284003,-0.0470186922350013,-22.268137254902,0,7929,7557,8305
"331",333,"PUNJAB","HAFIZABAD","HAFIZABAD",1.43263955846,1102.35074242,1.43263955855,0.104911761787,"331",1289,1976,-10838,31652,-0.134987956854121,-0.211862725649673,-5.72003745318352,0,13634,14048,14039
"332",334,"PUNJAB","HAFIZABAD","PINDI BHATTIAN",1.58632297249,1179.65134225,1.58632297196,0.112138564342,"332",1119,1658,-16396,21336,-0.0732473653204163,-0.0876892316481005,-12.4039087947883,0,10625,10310,10122
"333",335,"PUNJAB","JHANG","18-HAZARI",2.82382746245,1656.38940765,2.8238274598,0.156673432882,"333",640,820,-1209,20294,-1.12478031634446,0.101694915254237,8.83333333333333,0,10711,9959,10202
"334",336,"PUNJAB","JHANG","AHMEDPUR SIAL",1.60514279042,862.891123494,1.60514279469,0.081254902888,"334",887,846,-11986,16243,-0.079917109649518,-0.134386328327292,-8.44123314065511,0,5395,6331,5585
"335",337,"PUNJAB","JHANG","JHANG",3.51936040663,2615.34330548,3.51936039879,0.247510805332,"335",3583,4851,-56013,72743,-0.0683387373641045,-0.130655721684745,-8.65370231862378,0,25910,25526,28373
"336",338,"PUNJAB","JHANG","SHORKOT",2.40354430326,1227.90004748,2.40354430469,0.115646879067,"336",875,1060,-4814,24001,-0.222137598375222,0.380926130099228,1.62518089725036,0,9197,8704,9427
"337",339,"PUNJAB","JHELUM","DINA",2.12108622853,724.886527837,2.12108622953,0.0696878980999,"337",1769,3028,-46535,10078,-0.0395165974176831,-0.0406171206031405,-25.620159803319,0,5152,5447,5378
"338",340,"PUNJAB","JHELUM","JHELUM",2.17828495334,605.697096804,2.17828495582,0.0581237798343,"338",3067,4607,-93627,16200,-0.0338670494699647,-0.0379880123116799,-27.3240938166311,0,10116,10058,10099
"339",341,"PUNJAB","JHELUM","PIND DADAN KHAN",2.22578284353,1347.72350099,2.22578284469,0.129115102506,"339",3024,3946,-78921,16000,-0.039843472073995,-0.0439490027273026,-23.7536448598131,0,11789,11606,11522
