"","UC","DISTRICT","TEHSIL","fertility","elevation","poverty","distance_to_cities","Population","child_population","population_density","OutreachProportion","TotalOutreachCoverage","TotalClinicsCoverage"
"24","115/15-L","Khanewal","Mian Channu",13.9643103198001,138.724137931034,0.594426341611764,25.551724137931,31022.3193459531,3313.853532,7673443.43384986,0.815923566878981,0.386559027920248,0.0872096479851301
"25","116/7CR","Sahiwal","Chichawatni",6.88373328408887,152.451612903226,0.391041351902869,14,11131.235810956,1115.46123,5598826.71982591,0.907407407407407,0.0878560342254119,0.00896490145157264
"26","118 NB","Sargodha","Sillanwali",9.84140518816506,174.317073170732,0.371941253906343,22.9512195121951,24187.0144775822,2574.814584,8373935.75950894,0.901197604790419,0.350704864579872,0.0384493705353348
"27","118/12-L","Sahiwal","Chichawatni",13.3600136484419,154.75,0.470647457055748,15.40625,19896.1945848319,1992.715164,8959263.39439838,1,0.0792888029631113,0
"28","119/9.L","Sahiwal","Sahiwal",10.2172486782074,156.75,0.51724484456437,19.1071428571429,19341.6031571396,1976.272412,9759094.30114282,0.880121396054628,0.586963615418824,0.0799484924449778
"29","12-AH","Khanewal","Khanewal",14.6491595979007,138.12962962963,0.480268917701862,10.2962962962963,26138.1961687819,2835.050684,6875107.57809653,1,0.625385644780945,0
"30","123/7ER","Khanewal","Mian Channu",18.6843906032096,151.102189781022,0.412372554305696,7.00729927007299,93907.2516012181,9996.883157,9875347.47635892,0.790910003009933,0.788545777338628,0.208464975259888
"31","124/15-L","Khanewal","Mian Channu",10.6826294990686,140.969696969697,0.666805855252526,36.469696969697,28172.7091512759,2994.816545,6221087.12070748,1,0.585678612911496,0
"32","124/EB","Vehari","Burewala",10.8346658789593,143.478260869565,0.676891609378483,25.8695652173913,12366.8182797115,1283.17134,7750758.35006978,1,0.33978315008189,0
"33","124/WB","Vehari","Mailsi",10.3647168159485,125.333333333333,0.538703734937467,23.0526315789474,12266.6817052058,1387.755828,9801303.68115398,1,0.238514581111166,0
"34","126 SB","Sargodha","Sillanwali",11.1234215277213,177.555555555556,0.347078693133813,16.7407407407407,11654.599593658,1239.73868,6325586.8318501,1,0.0887283762090895,0
