"","UC","PROVINCE","DISTRICT","TEHSIL","UC_C","Flood","Area","TOWN","U_R","PROVINCE_C","DISTRICT_C","TEHSIL_C","UC_NAME","Data_Sourc","Level","School","New_Name","Shape_Leng","Shape_Area","id","attr","fertility","elevation","poverty","distance_to_cities","Population","child_population","population_density"
"43","133/9.L","Punjab","Sahiwal","Sahiwal",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.194599229134,0.0020770703402,"2151",0.598578961832183,17.9028767177037,165.481481481481,0.598578961832183,16.1071428571429,18083.7240582137,1845.121488,8706360.92972782
"44","134/16-L","Punjab","Khanewal","Mian Channu",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.271798173548,0.0038987831046,"799",0.476036732947385,9.61544113892775,145.296296296296,0.476036732947385,9.35185185185185,42412.1823975207,4554.846224,10878312.8631804
"45","135 SB","Punjab","Sargodha","Sillanwali",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.165179941472,0.00153572194116,"2348",0.431846883296967,12.0158892440796,177.36,0.431846883296967,23.56,14104.0408641895,1500.293928,9183980.82763346
"46","136/10-R","Punjab","Khanewal","Jehanian",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.319703564692,0.00410623602523,"876",0.765359217470342,22.6011062421297,121.254545454545,0.765359217470342,12.0909090909091,35375.9893447746,3908.175982,8615186.54247185
"47","137/16-L","Punjab","Khanewal","Mian Channu",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.336599093551,0.0048318331714,"798",0.588050547081071,10.309451444729,139.27027027027,0.588050547081071,30.4459459459459,28649.9932241187,3083.345345,5929425.17007837
"48","137/EB","Punjab","Pakpattan","Arifwala",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.331819634626,0.00459028386638,"1755",0.529527121782303,13.0775906294584,149.939393939394,0.529527121782303,15.7384615384615,39537.1548496264,4148.915628,8613226.54557446
"49","138 SB","Punjab","Sargodha","Sillanwali",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.169160138479,0.00144187207507,"2346",0.514435070753098,11.7522378720735,174.095238095238,0.514435070753098,32.75,13353.4056361234,1420.446352,9261158.36973616
"50","138/9.L","Punjab","Sahiwal","Sahiwal",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.189425093899,0.0023788804569,"2150",0.550680835213926,16.44901310073,165.361111111111,0.550680835213926,16.7222222222222,20125.4348389798,2053.441656,8460044.63175336
"51","139/10-R","Punjab","Khanewal","Jehanian",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.318589733757,0.00397714140855,"875",0.695395398139954,21.43059458556,122.418181818182,0.695395398139954,25.9818181818182,31425.360108758,3472.219938,7901494.28461362
"52","14/8-R","Punjab","Khanewal","Khanewal",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.258648299011,0.00362589684591,"831",0.558339986146665,10.6777298083672,139.549019607843,0.558339986146665,9.98039215686275,41065.1461282332,4426.812159,11325514.1757699
"53","14/8 AR","Punjab","Khanewal","Mian Channu",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.27121248618,0.00456964714321,"805",0.446195496831621,13.8838108062744,146.753623188406,0.446195496831621,8.71428571428571,45393.208582813,4848.974795,9933635.39026474
"54","140/10-R","Punjab","Khanewal","Jehanian",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.29363672034,0.00245466359218,"874",0.585912365572793,26.2947947714064,123.771428571429,0.585912365572793,23.1142857142857,27216.0206034276,3007.059408,11087474.7521948
"55","141/9L","Punjab","Sahiwal","Sahiwal",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.356894647464,0.00516682093067,"2149",0.730292061696181,15.2000466617378,162.418918918919,0.730292061696181,33,35096.9961778597,3575.482429,6792764.18687662
"56","142/9.L","Punjab","Sahiwal","Sahiwal",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.272509177113,0.00434308909057,"2148",0.702747035594214,10.4222375062796,163.47619047619,0.702747035594214,28.031746031746,27341.5817595865,2748.424181,6295422.72548641
"57","147 NB","Punjab","Sargodha","Sillanwali",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.212864347752,0.00207846174777,"2345",0.534516048218523,5.47194785731179,166.142857142857,0.534516048218523,38,4559.81880796042,489.659584,2193843.0249451
"58","147/EB","Punjab","Pakpattan","Arifwala",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.282205437118,0.00404555503702,"1754",0.415768979969671,46.5283023219998,154.796610169492,0.415768979969671,4.6271186440678,57278.9088542246,6010.618362,14158479.6968717
"59","148/EB","Punjab","Vehari","Burewala",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.453541540922,0.00271331891789,"2652",0.668997550622011,12.1320875485738,141.512820512821,0.668997550622011,21.7692307692308,16145.648908773,1705.752378,5950516.46981792
"60","149/10-R","Punjab","Khanewal","Jehanian",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.247216548946,0.00338957744646,"873",0.648931107521057,9.75630570917713,125.76,0.648931107521057,27.48,20608.198474382,2278.233224,6079872.4324487
"61","15 SB","Punjab","Sargodha","Bhalwal",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.30428412357,0.00445649014612,"2488",0.582177992967459,13.7004990279675,191.323076923077,0.582177992967459,16.3692307692308,15137.5545932244,1517.38529,3396743.64733058
"62","15/KB","Punjab","Pakpattan","Pakpattan",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.438844073272,0.00775444012379,"1729",0.786472550383559,12.7133825648915,160.026785714286,0.786472550383559,20.990990990991,55038.3302383819,6142.578615,7097653.64871782
"63","15/WB","Punjab","Vehari","Vehari",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.199322896048,0.0023780426262,"2592",0.615333138143315,22.3473493912641,138.176470588235,0.615333138143315,5.11764705882353,43648.4561459887,4751.39119,18354782.9063674
"64","151 GB","Punjab","Toba Tek Singh","Toba Tek Singh",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.399947443199,0.00661227448864,"2544",0.485983535195842,17.5209356716701,165.606060606061,0.485983535195842,27.1717171717172,44367.6871556917,4493.356752,6709897.96807681
"65","151/EB","Punjab","Pakpattan","Arifwala",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.236616484763,0.00243614099833,"1753",0.476370980610719,25.2142502552754,156.081081081081,0.476370980610719,9.83783783783784,20280.6666738431,2128.194991,8324914.9732079
"66","151/WB","Punjab","Vehari","Mailsi",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.276756972972,0.00376044821739,"2620",0.506239304002726,12.8589819761423,126.666666666667,0.506239304002726,20.5660377358491,28446.1977598702,3219.213072,7564576.37903966
"67","152 NB","Punjab","Sargodha","Sillanwali",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.158206702678,0.00135338835493,"2677",0.501375142823566,8.3158685835925,167.227272727273,0.501375142823566,34.2727272727273,2548.2090636981,271.061508,1882836.55198873
"68","153/9.L","Punjab","Sahiwal","Sahiwal",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.452380139572,0.0029207406227,"2147",0.670079217507289,11.9134019704965,155.076923076923,0.670079217507289,28.6923076923077,14312.9629759403,1454.168291,4900456.70769253
"69","154 GB","Punjab","Toba Tek Singh","Gojra",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.209347176492,0.00250511098924,"2589",0.298555495341619,22.3519193649292,166.666666666667,0.298555495341619,6.33333333333333,9418.74432793967,959.082225,3759811.18936256
"70","155/WB","Punjab","Vehari","Vehari",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.264574646861,0.00311284521761,"2591",0.508943163024055,16.8222283176754,129.311111111111,0.508943163024055,19.5555555555556,32807.0045183428,3711.639537,10539234.1169895
"71","157/10-R","Punjab","Khanewal","Jehanian",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.268325861762,0.0028325989513,"872",0.715388114750385,7.82826278098794,126.825,0.715388114750385,24.9,18523.6850468474,2046.597208,6539466.18117123
"72","158 GB","Punjab","Toba Tek Singh","Gojra",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.24464660884,0.00335046333143,"2588",0.266592233680015,95.159857328548,167.604651162791,0.266592233680015,0.651162790697674,170268.753645553,17306.286564,50819464.8926006
"73","16/WB","Punjab","Vehari","Vehari",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.359436794361,0.00567468034114,"2590",0.64246157647633,16.9383903945365,138.243902439024,0.64246157647633,11.1463414634146,63080.2987060558,6866.66155,11116097.2801833
"74","161 GB","Punjab","Toba Tek Singh","Gojra",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.193341888757,0.00228538936983,"2587",0.306236300298146,12.6603889465332,165.857142857143,0.306236300298146,5.14285714285714,22365.7165617279,2273.27382,9786392.13824277
"75","162/9-L","Punjab","Sahiwal","Chichawatni",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.449964125156,0.00912435936692,"2181",0.624586376256512,12.802990615816,154.09022556391,0.624586376256512,29.2857142857143,57234.7476504076,5740.36332,6272741.49875221
"76","163 NB","Punjab","Sargodha","Sillanwali",0,"163 NB",0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.330667684315,0.00519581007163,"2344",0.488694578409195,6.74819548288981,162.552631578947,0.488694578409195,34.4736842105263,44983.276954336,4783.283212,8657606.09687262
"77","164-A/T.D.A","Punjab","Layyah","Layyah",600314,NA,0,NA,NA,6,618,61803,"164-a/t.d.a","PCO","2",0,NA,0.614316243051,0.0111657923352,"4000",0.870590374793535,5.77744243395181,142.728395061728,0.870590374793535,46.2098765432099,50705.2836949127,6086.96768,4541127.23689702
"78","164.A/9-L","Punjab","Sahiwal","Chichawatni",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.444356654085,0.0076886575426,"2180",0.431152380264557,15.7596521594308,149.099099099099,0.431152380264557,18.2882882882883,67175.2027868859,6755.132718,8736922.20191796
"79","166/EB","Punjab","Vehari","Vehari",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.309895532595,0.00476884719198,"2512",0.660116216450026,12.8741435542035,138.954545454545,0.660116216450026,16.2424242424242,35926.9518518754,3910.86003,7533676.4642607
"80","168/9-L","Punjab","Sahiwal","Chichawatni",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.22534741239,0.00286056174083,"2179",0.529106075443873,11.7576678206281,145.09756097561,0.529106075443873,23.2926829268293,19801.9019593898,1989.6641,6922382.29881528
"81","169/9-L","Punjab","Sahiwal","Chichawatni",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.375925588293,0.00494276361521,"2178",0.471862272075985,14.8060317536195,146.826086956522,0.471862272075985,27.1594202898551,33047.0654229858,3316.056534,6685948.99446385
"82","17/14-L","Punjab","Sahiwal","Chichawatni",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.153142915596,0.00126070920803,"2177",0.457498423363033,12.8624093797472,153.263157894737,0.457498423363033,14.2631578947368,12079.089920363,1209.788412,9581186.40161112
"83","171/10-R","Punjab","Khanewal","Khanewal",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.365212218593,0.00410784651007,"829",0.615340311979425,10.0707071454901,128.448275862069,0.615340311979425,11.1724137931034,32433.7519997597,3520.999509,7895560.82980495
"84","172/T.D.A","Punjab","Layyah","Layyah",600315,NA,0,NA,NA,6,618,61803,"172/t.d.a","PCO","2",0,NA,0.90739374912,0.0154695830944,"4001",0.886711245962323,5.48261369962608,139.62331838565,0.886711245962323,63.3497757847534,54668.9794330647,6582.403843,3533965.91876189
"85","173/EB","Punjab","Vehari","Burewala",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.522360317201,0.00885862625941,"2651",0.50203395485878,15.5206448078156,148.992307692308,0.50203395485878,21.8,70262.2761509314,7296.01572,7931509.25362676
"86","178 GB","Punjab","Toba Tek Singh","Gojra",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.357014017158,0.00450118595469,"2586",0.371149381947896,17.0591691881418,166.920634920635,0.371149381947896,21.5873015873016,27531.7975455292,2798.830329,6116565.23917713
"87","18-HAZARI","Punjab","Jhang","Jhang",600193,NA,0,NA,NA,6,612,61202,"18-hazari","PCO","1",0,NA,0.741909159164,0.00944835655116,"4002",0.420426766911562,7.08186028212526,149.615942028986,0.420426766911562,41.9343065693431,30710.5390936312,3235.87417,3250357.76617266
"88","18 NB","Punjab","Sargodha","Bhalwal",0,"18 NB",0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.217702198036,0.00299743260946,"2487",0.65980183642085,12.7507732746213,187.19512195122,0.65980183642085,39.609756097561,13217.3628427229,1347.38635,4409561.30289916
"89","18/11-L","Punjab","Sahiwal","Chichawatni",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.279626494124,0.00442176104217,"2176",0.456834055723683,21.4825989046404,150.790322580645,0.456834055723683,23.5645161290323,32100.0255370747,3214.997088,7259556.82157837
