,OBJECTID,PROVINCE,DISTRICT,TEHSIL,SHAPE_Leng,Area_Sq_Km,Shape_Le_1,Shape_Area,id,penta3_in_clinic,penta3_out_clinic,,,,,,,,,
362,365,PUNJAB,MIANWALI,ISAKHEL,2.923414387,1883.27458,2.923414383,0.181383173,362,3669,10213,,,,,,,,,
363,366,PUNJAB,MIANWALI,MIANWALI,2.777351015,2952.134573,2.777351017,0.283593038,363,3384,20290,,,,,,,,,
364,367,PUNJAB,MIANWALI,PIPLAN,1.648383419,1197.120733,1.648383418,0.114576015,364,1871,8819,,,,,,,,,
365,368,PUNJAB,MULTAN,JALALPUR PIRWALA,1.583604182,871.275607,1.583604183,0.081089703,365,2507,12696,,,,,,,,,
366,369,PUNJAB,MULTAN,MULTAN CITY,0.907674684,285.7653182,0.907674684,0.026751803,366,3115,50350,,,,,,,,,
367,370,PUNJAB,MULTAN,MULTAN SADDAR,3.305778709,1652.517149,3.305778711,0.154616693,367,7629,30222,,,,,,,,,
368,371,PUNJAB,MULTAN,SHUJABAD,1.365443096,837.9264351,1.365443094,0.078180706,368,3872,12708,,,,,,,,,
369,372,PUNJAB,MUZAFFARGARH,ALIPUR,2.114522537,1237.968804,2.114522536,0.114990192,369,2676,5818,,,,,,,,,
370,373,PUNJAB,MUZAFFARGARH,JATOI,1.722912986,1033.167233,1.722912985,0.096239304,370,2572,4184,,,,,,,,,
371,374,PUNJAB,MUZAFFARGARH,KOT ADDU,2.809586094,3165.655359,2.809586092,0.297259256,371,6329,12441,,,,,,,,,
372,375,PUNJAB,MUZAFFARGARH,MUZAFFARGARH,3.875695969,2232.418571,3.875695966,0.208819362,372,9025,22737,,,,,,,,,
373,376,PUNJAB,NANKANA SAHIB,NANKANA SAHAB,2.811824144,1633.876011,2.811824141,0.154208976,373,2296,38709,,,,,,,,,
374,377,PUNJAB,NANKANA SAHIB,SAFDARABAD,1.373903167,604.0922623,1.373903168,0.057272099,374,2840,15481,,,,,,,,,
375,378,PUNJAB,NANKANA SAHIB,SHAH KOT,0.794801492,244.4324169,0.794801491,0.023134306,375,1741,9424,,,,,,,,,
376,379,PUNJAB,NANKANA SAHIB,SHANGLA HILL,0.985367022,302.8779941,0.985367023,0.028717785,376,739,11131,,,,,,,,,
377,380,PUNJAB,NAROWAL,NAROWAL,1.413114762,732.9301316,1.413114767,0.069553005,377,2525,20543,,,,,,,,,
378,381,PUNJAB,NAROWAL,SHAKARGARH,1.885449826,965.5701445,1.885449828,0.091677596,378,3987,21931,,,,,,,,,
379,382,PUNJAB,NAROWAL,ZAFARWAL,1.529210596,641.6228026,1.526527917,0.061028365,379,2794,14787,,,,,,,,,
380,383,PUNJAB,OKARA,DEPALPUR,2.937883462,2560.283077,2.937883461,0.23973558,380,3973,26451,,,,,,,,,
381,384,PUNJAB,OKARA,OKARA,2.198112709,1248.680945,2.198112706,0.117288231,381,2371,36338,,,,,,,,,
382,385,PUNJAB,OKARA,RENALA KHURD,1.296569638,624.348657,1.296569635,0.058682119,382,1924,13927,,,,,,,,,
383,386,PUNJAB,PAK PATTAN,ARIFWALA,2.39439928,1361.714948,2.249617251,0.108238775,383,2815,35361,,,,,,,,,
384,387,PUNJAB,PAK PATTAN,PAK PATTAN,2.409550206,1536.439339,2.409550205,0.143632581,384,3513,34393,,,,,,,,,
385,388,PUNJAB,RAHIM YAR KHAN,KHAN PUR,3.510491623,3064.414866,3.510491625,0.282515559,385,5379,13652,,,,,,,,,
386,389,PUNJAB,RAHIM YAR KHAN,LIAQAT PUR,4.522301985,4644.395227,4.522301981,0.42783275,386,4994,17150,,,,,,,,,
387,390,PUNJAB,RAHIM YAR KHAN,RAHIM YAR KHAN,3.196135283,2626.683372,3.196135286,0.242015709,387,4047,10636,,,,,,,,,
388,391,PUNJAB,RAHIM YAR KHAN,SADIQABAD,3.346906279,2546.211461,3.346906279,0.234187657,388,6245,10832,,,,,,,,,
389,392,PUNJAB,RAJANPUR,DE-EXCLUDED AREA RAJANPUR,4.676385957,4794.030655,4.676385957,0.445137627,389,0,140,,,,,,,,,
390,393,PUNJAB,RAJANPUR,JAMPUR,2.288839863,2212.121987,2.288839863,0.206002068,390,4561,5522,,,,,,,,,
391,394,PUNJAB,RAJANPUR,RAJANPUR,2.885114138,2718.204275,2.885114139,0.252191747,391,3386,5633,,,,,,,,,
392,395,PUNJAB,RAJANPUR,ROJHAN,2.988328482,2798.617903,2.988328486,0.258689809,392,996,5034,,,,,,,,,
393,396,PUNJAB,RAWALPINDI,GUJAR KHAN,2.320208226,1480.877611,2.320208221,0.142837679,393,4428,13008,,,,,,,,,
394,397,PUNJAB,RAWALPINDI,KAHUTA,1.308554849,614.7388379,1.30855485,0.059512545,394,2980,7193,,,,,,,,,
395,398,PUNJAB,RAWALPINDI,KALLAR SAYYEDAN,1.382076509,471.2151287,1.382076508,0.045533059,395,2641,4213,,,,,,,,,
396,399,PUNJAB,RAWALPINDI,KOTLI SATTIAN,1.14164613,368.7174371,1.141646128,0.035773802,396,620,2830,,,,,,,,,
397,400,PUNJAB,RAWALPINDI,MURREE,1.167401369,384.9036345,1.167401367,0.037383407,397,857,5030,,,,,,,,,
398,401,PUNJAB,RAWALPINDI,RAWALPINDI,2.730416367,1620.552548,2.73041637,0.156662062,398,5772,26382,,,,,,,,,
399,402,PUNJAB,RAWALPINDI,TAXILA,0.896920123,279.556575,0.896920125,0.027136526,399,809,6208,,,,,,,,,
400,403,PUNJAB,SAHIWAL,CHICHAWATNI,2.604384834,1587.548238,2.604384835,0.148738681,400,2173,28780,,,,,,,,,
401,404,PUNJAB,SAHIWAL,SAHIWAL_SAHIWAL,2.470416604,1644.621745,2.470416602,0.154299986,401,2666,59239,,,,,,,,,
402,405,PUNJAB,SARGODHA,BHALWAL,1.869846301,1282.585642,1.869846293,0.122544463,402,4413,23628,,,,,,,,,
403,406,PUNJAB,SARGODHA,KOT MOMIN,1.454933777,893.8070359,1.454933776,0.085142475,403,2342,8335,,,,,,,,,
404,407,PUNJAB,SARGODHA,SAHIWAL,1.583097961,759.8902417,1.583097956,0.072309003,404,1073,12217,,,,,,,,,
405,408,PUNJAB,SARGODHA,SARGODHA,2.672250258,1457.875837,2.672250251,0.138883927,405,4424,48335,,,,,,,,,
406,409,PUNJAB,SARGODHA,SHAHPUR,1.556400454,788.0076131,1.556400453,0.075240038,406,2064,11386,,,,,,,,,
407,410,PUNJAB,SARGODHA,SILLANWALI,1.764301288,611.3425901,1.764301288,0.058098409,407,1437,14658,,,,,,,,,
408,411,PUNJAB,SHEIKHUPURA,FEROZEWALA,1.415148576,459.8054257,1.41514858,0.043500421,408,3818,16059,,,,,,,,,
409,412,PUNJAB,SHEIKHUPURA,MURIDKE,1.941678065,949.5785871,1.941678064,0.089976235,409,2718,22060,,,,,,,,,
410,413,PUNJAB,SHEIKHUPURA,SHARAK PUR,1.046548929,375.5976093,1.04654893,0.035484738,410,945,4757,,,,,,,,,
411,414,PUNJAB,SHEIKHUPURA,SHEIKHUPURA,2.180575115,1260.024663,2.180575111,0.119367239,411,4762,43731,,,,,,,,,
412,415,PUNJAB,SIALKOT,DASKA,1.762775262,754.4180099,1.762775259,0.071829877,412,6751,24606,,,,,,,,,
413,416,PUNJAB,SIALKOT,PASRUR,1.818256158,1022.206276,1.898750363,0.097260731,413,5462,21607,,,,,,,,,
414,417,PUNJAB,SIALKOT,SAMBRIAL,0.93038272,361.486893,0.930382718,0.03450157,414,2846,11793,,,,,,,,,
415,418,PUNJAB,SIALKOT,SIALKOT,1.671297656,973.1594714,1.980599573,0.092913018,415,5570,41019,,,,,,,,,
416,419,PUNJAB,TOBA TEK SINGH,GOJRA,1.768058201,691.3388352,1.768058205,0.065242207,416,2557,19847,,,,,,,,,
417,421,PUNJAB,TOBA TEK SINGH,TOBA TEK SINGH,2.285254957,1270.461653,2.285254964,0.119640397,417,5488,35997,,,,,,,,,
418,422,PUNJAB,VEHARI,BUREWALA,2.325331321,1501.832367,2.325331319,0.140263986,418,4120,32123,,,,,,,,,
419,423,PUNJAB,VEHARI,MAILSI,2.743828003,1600.701712,2.743828008,0.149272386,419,5858,29166,,,,,,,,,
420,424,PUNJAB,VEHARI,VEHARI,2.230502458,1391.50063,2.230502456,0.129881336,420,2867,23819,,,,,,,,,
552,420,PUNJAB,TOBA TEK SINGH,KAMALIA,2.226345171,1117.021028,2.225943378,0.104929681,552,2564,21401,,,,,,,,,
553,350,PUNJAB,KHANEWAL,MIAN CHANNU,1.958708515,1025.931166,1.958306725,0.096137607,553,4702,37961,,,,,,,,,
