"","TEHSIL","X","fertility","elevation","poverty","night_lights","distance_to_lakes_rivers","distance_to_cities","Population","child_population","population_density","radio","electricity","television","mobile_phone","card","antenatal_care","age","mothers_age","school_level","urban_to_rural","penta3_in_clinic","penta3_out_clinic","fac_number","OutreachProportion","TotalOutreachCoverage","TotalClinicsCoverage","teh_obs","edu_mode"
"37","GUJRANWALA",37,35.9420186939524,221.746031746032,0.4308406999326,0.538593500852585,0,4.80859010270775,1954167.9054167,202554.857639,26101208.67042,0.0487152034261242,0.996264674493063,0.802027748132337,0.894230769230769,0.527675276752767,0.928952042628774,1.96864576384256,27.5824742268041,3.61466666666667,0.427792033343908,5299,49785,30,0.903801466850628,0.245785268150559,0.0261608142197412,2250,4
"38","GUJRANWALA CITY",38,296.382689574054,223.816513761468,0.296845043197684,NA,0,0.110091743119266,1045031.63260231,108260.926158,138398994.762565,0.0147058823529412,1,0.955882352941177,0.967647058823529,0.75,0.9875,1.95652173913043,27.9802371541502,3.80253164556962,1,238,62203,1,0.996188401851348,0.574565563102782,0.00219839242509947,395,4
"39","GUJRAT",39,21.2148947071932,245.656519533232,0.341793599554082,0.540253013372421,12,7.76837303598581,1712431.64934912,170931.21485,12454176.3496126,0.0735009671179884,0.999033816425121,0.770793036750484,0.897584541062802,0.630434782608696,0.941818181818182,1.88591549295775,28.513358778626,3.56201550387597,0.353795411427913,9854,64700,49,0.867827346621241,0.378514831575831,0.0576489204072371,1290,4
"40","HAFIZABAD",40,12.3926948116234,204.44715984148,0.39742749788684,0.549189984798431,10,16.1327608982827,759653.780923654,80533.7246679999,7240882.89038518,0.0403458213256484,0.995677233429395,0.652737752161383,0.837175792507205,0.597402597402597,0.845360824742268,1.93528183716075,28.1626506024096,3.53857566765579,0.466228767999348,1976,31671,20,0.941272624602491,0.393263817494641,0.0245363046120871,674,5
"41","HAROONABAD",41,10.0743170035575,150.913621262458,0.717990648900131,0.579160988330841,0,26.1606080634501,580463.022131564,60382.327055,5539536.42389562,0.0512295081967213,0.969325153374233,0.633946830265849,0.867075664621677,0.405797101449275,0.864864864864865,2.00534759358289,28.4283801874163,3.40748440748441,0.395482109766192,2242,17132,23,0.884277898214101,0.283725401712244,0.0371300694979484,481,4
"42","HASILPUR",42,7.99757803634948,139.206644518272,0.767006946631162,0.679390013217926,9,33.6009296148738,488766.676434788,52490.272549,4676149.02828913,0.0326295585412668,0.932950191570881,0.53742802303263,0.846743295019157,0.537037037037037,0.785234899328859,1.93939393939394,27.6456375838926,3.372460496614,0.395860672897108,3301,23700,11,0.877745268693752,0.451512229773162,0.0628878426363379,443,2
"43","HASSANABDAL",43,10.0531053142013,441.619402985075,0.409910406194516,0.590184986591339,0,15.1753731343284,259011.582947462,24474.180831,6992996.6165995,0.14207650273224,0.997275204359673,0.760217983651226,0.918478260869565,0.5,0.896551724137931,1.83206106870229,29.0974729241877,3.44324324324324,0.499311625967044,2266,4211,9,0.650146672842365,0.172058874169393,0.0925873685271538,370,2
"44","HAZRO",44,14.6748689976126,328.122448979592,0.384188449686324,NA,0,3.72222222222222,394443.487170477,37483.136946,10470510.2018422,0.0926430517711172,1,0.685636856368564,0.899728997289973,0.714285714285714,0.775280898876405,1.92888888888889,29.0372439478585,3.13220338983051,0.430206329859748,3210,9088,13,0.738981948284274,0.242455694492502,0.0856385100485181,295,2
"45","ISAKHEL",45,3.85726387076074,359.89270714013,0.567138132433455,0.713585019111633,32,39.4701834862385,405355.777674626,47867.176688,2234803.65568,0.109489051094891,0.951456310679612,0.727493917274939,0.895631067961165,0.351851851851852,0.848484848484849,2.018779342723,28.9084967320261,3.49137931034483,0.39886401821953,3925,14186,15,0.783280879023798,0.296361744760191,0.0819977335530627,232,2
"46","JAHANIAN",46,14.8109045342209,125.494065281899,0.656239061838105,0.41738098859787,0,22.3377976190476,383170.467001914,42344.949251,8204276.90990623,0.0325379609544469,0.980728051391863,0.661670235546039,0.946466809421842,0.6,0.84297520661157,2.1264367816092,28.8696925329429,3.44444444444444,0.374706588543067,2741,19061,12,0.874277589211999,0.450136328822023,0.0647302700436055,423,2
"47","JALALPUR PIRWALA",47,12.0566880997411,107.033505154639,0.737164352101968,0.521640494465828,13,19.3445017182131,557696.603168334,68094.118758,6877526.73576118,0.0579439252336449,0.929236499068901,0.473880597014925,0.839851024208566,0.56020942408377,0.716049382716049,2.06451612903226,28.3818407960199,3.2972027972028,0.438195757443632,2760,16548,17,0.857054070851461,0.243016582075319,0.0405321347913874,286,2
"48","JAMPUR",48,6.43492210463965,130.23630831643,0.774866388421399,0.803047001361847,15,63.692125718148,756182.458784765,103996.4326,3670751.78845908,0.146884272997033,0.819526627218935,0.439349112426036,0.794378698224852,0.172839506172839,0.644808743169399,2.20070422535211,27.7490683229814,3.48475609756098,0.381907989351119,4801,8109,20,0.628117738187452,0.077973828498421,0.046165045088287,328,2
"49","JAND",49,2.8754149862062,360.239607975667,0.365268641270501,0.781081259250641,7,39.4317106152806,353289.81147523,35444.790588,1719515.08817499,0.141057934508816,0.964735516372796,0.768261964735516,0.904040404040404,0.641025641025641,0.845238095238095,1.9238578680203,29.5381679389313,3.56692913385827,0.407257389305571,4508,12565,16,0.735957359573596,0.354494970672896,0.127183710926655,381,4
"50","JARANWALA",50,17.2539441114991,186.99531516184,0.505709664861226,0.457436998685201,0,10.1933560477002,1652980.90246013,171679.350798,10097420.478885,0.028971028971029,0.99500998003992,0.738522954091816,0.859140859140859,0.4375,0.903474903474903,2.07213578500707,28.6317204301075,3.41761658031088,0.445220697301888,6326,68413,49,0.915358781894326,0.398492886197453,0.036847762824099,965,2
