"","X","DISTRICT","District","OBJECTID","PROVINCE","Shape_Leng","ADMIN_UNIT","Shape_Le_1","Shape_Le_2","Shape_Area","id","fertility","elevation","poverty","night_lights","distance_to_lakes_rivers","malaria_instance","Population","child_population","population_density","electricity.x","radio.x","television.x","television","mobile_phone","dtp_boolean","card","school_boolean","antenatal_care","age","mothers_age","dtp_number","school_level","wm_urban","hh_urban","ch_urban","urban_to_rural","vaccinations","penta1","penta2","penta3","pentavalent1_vacc_per_capita","pentavalent2_vacc_per_capita","pentavalent3_vacc_per_capita","penta1_in_clinic","penta3_in_clinic","penta1_out_clinic","penta3_out_clinic"
"11",11,"JHANG","JHANG",99,"PUNJAB",5.09898591808,"DISTRICT",5.09898591629,5.09898591629,0.601086020169,96,8.45940668849271,152.338955637708,0.532117270457718,0.549481800198555,81,0,2968989.00278394,524853.112422,4939374.57062999,0,0,0,0.37400434467777,0.815351194786387,0.724861878453039,0.280320366132723,0.473782771535581,0.707920792079208,2.01652892561983,28.3678437667202,2.69113149847095,3.20847457627119,0.302387914230019,0.29982905982906,0.2735368956743,0.291917956577793,0,14033,15120,15879,0.0267370044453828,0.0288080600879489,0.0302541789772845,10307,0,-74022,-22529
"12",12,"JHELUM","JHELUM",100,"PUNJAB",4.0553205683,"DISTRICT",4.05532056477,4.05532056477,0.344651991387,97,7.30839197183737,305.091696896413,0.385517676586225,0.595126993954182,53,0,1452558.14707742,188893.028489,4214564.78818479,0,0,0,0.798795785248369,0.903662819869543,0.901538461538462,0.701657458563536,0.827841291190316,0.928994082840237,1.92886345053148,28.6455951580363,2.8448275862069,3.46994313566206,0.340087281795511,0.337977528089888,0.345808383233533,0.341291064372977,0,14033,15120,15879,0.0742907248205679,0.0800453045882554,0.0840634518225467,14305,0,-211219,-171866
"13",13,"KASUR","KASUR",101,"PUNJAB",3.86861204144,"DISTRICT",3.86861204172,3.86861204172,0.367986215178,98,17.2355994081194,194.685072353389,0.544146577943182,0.489721010128657,27,0,3677418.6489151,338336.247787,9993359.79782905,0,0,0,0.545582541358677,0.7990851513019,0.744089012517385,0.44559585492228,0.52349159248269,0.673969072164949,2.04192472606003,27.4413946587537,2.57844990548204,3.40330969267139,0.425476603119584,0.406643018381167,0.363750523231478,0.39862338157741,0,14033,15120,15879,0.0414764900059851,0.0446892702123918,0.0469326006417044,16161,0,-139881,-118603
"14",14,"KHANEWAL","KHANEWAL",102,"PUNJAB",4.1761099865,"DISTRICT",4.17570819221,4.17570819221,0.409342283818,154,13.7545834506467,136.211479850999,0.591996129698102,0.486766625195742,23,0,3248561.34443162,593808.261661,7936051.25307792,0,0,0,0.555244755244755,0.89401888772298,0.772300469483568,0.514687100893997,0.578128682535942,0.801925722145805,2.15593705293276,28.2458166391704,2.53058103975535,3.39991846718304,0.441363636363636,0.408016443987667,0.376845018450184,0.408741699600496,0,14033,15120,15879,0.0236322074077361,0.0254627646265923,0.0267409549937606,15642,0,-112421,-122354
"15",15,"KHUSHAB","KHUSHAB",103,"PUNJAB",4.03690851092,"DISTRICT",4.03690851077,4.03690851077,0.633296329864,99,3.87733742730347,293.057926494789,0.544113469292841,0.773885607719421,34,0,1431004.84394465,264473.308355,2259613.35391279,0,0,0,0.615782664941785,0.864899806076277,0.880769230769231,0.709677419354839,0.498021978021978,0.863509749303621,2.06910569105691,28.3758241758242,2.59471365638767,3.29214474845543,0.357907253269917,0.330943847072879,0.345421577515866,0.344757559286221,0,14033,15120,15879,0.0530601749087044,0.0571702305009342,0.0600400853256835,6440,0,-37505,-27311
"16",16,"LAHORE","LAHORE",104,"PUNJAB",2.49228064269,"DISTRICT",2.44603830281,2.44603830281,0.159835021237,100,98.6216474835866,210.071961386573,0.429914912465466,0.454719007015228,22,0,9794432.35059328,381198.794878,61278387.3946518,0,0,0,0.868568958063122,0.912076042341758,0.826251180358829,0.649546827794562,0.762478751352187,0.884713919726729,1.99180596525729,28.0054087467161,2.69345579793341,3.88467774625051,0.726790811472067,0.755191256830601,0.699342669334096,0.727108245878921,0,14033,15120,15879,0.0368128131267864,0.0396643436526053,0.0416554307446905,7276,0,-46244,-52996
"17",17,"LAYYAH","LAYYAH",105,"PUNJAB",3.99690767196,"DISTRICT",3.99690767054,3.99690767054,0.602245364992,101,5.04994061164604,147.125259037532,0.785697587106312,0.650166117482715,19,0,1766937.10631942,425365.466249,2933915.65801905,0,0,0,0.460794297352342,0.888492871690428,0.77843137254902,0.659619450317125,0.513968253968254,0.632743362831858,2.02076124567474,27.9085714285714,2.46969696969697,3.14638665843113,0.249176400119796,0.259259259259259,0.201161562829989,0.236532407403015,0,14033,15120,15879,0.0329904543585712,0.0355459039336989,0.0373302518891009,19089,0,-287524,-199402
"18",18,"LODHRAN","LODHRAN",106,"PUNJAB",3.4928707464,"DISTRICT",3.49287074559,3.49287074559,0.248084429151,102,12.8283931939693,117.618461538462,0.715123651978019,0.606986254453659,1,0,1824277.32981881,283312.504101,7353453.5644252,0,0,0,0.485338120885697,0.849790544584081,0.665158371040724,0.341517857142857,0.427787162162162,0.844387755102041,2.03206412825651,27.8834459459459,2.01369863013699,3.37611056268509,0.469296461976413,0.409117137911137,0.457089552238806,0.445167717375452,0,14033,15120,15879,0.0495318766269394,0.0533686292738063,0.0560476497512414,10872,0,-67644,-39921
"19",19,"MANDI BAHAUDDIN","MANDI BAHAUDDIN",107,"PUNJAB",2.63685589849,"DISTRICT",2.63685590419,2.63685590419,0.264554251075,103,11.983052778859,209.447596532703,0.432236719546587,0.574253612756729,10,0,1810941.57453636,272120.549359,6845256.0001501,0,0,0,0.708358755338621,0.910311165344722,0.920138888888889,0.672514619883041,0.724152365006279,0.848563968668407,2.07707317073171,27.9024696525743,2.80681818181818,3.42485549132948,0.368380062305296,0.389551391254969,0.319751992914083,0.359227815491449,0,14033,15120,15879,0.0515690565562056,0.0555636097149454,0.0583528147264297,15086,0,-152738,-148649
"20",20,"MIANWALI","MIANWALI",108,"PUNJAB",4.19334652859,"DISTRICT",4.19334652642,4.19334652642,0.579552225282,104,4.83091786192222,294.413941789436,0.525759830454631,0.710099250078201,54,0,1658109.82545084,346876.109,2861018.82301294,0,0,0,0.69472182596291,0.891660727013542,0.773333333333333,0.443037974683544,0.468433734939759,0.843537414965986,2.07048984468339,28.6833734939759,2.11180124223602,3.51646090534979,0.399642378185069,0.370249017038008,0.362527716186253,0.377473037136443,0,13974,15086,15873,0.040285276608658,0.0434910321252479,0.0457598537003885,12795,0,-114495,-93917
