"","TEHSIL","OBJECTID","PROVINCE","DISTRICT","SHAPE_Leng","Area_Sq_Km","Shape_Le_1","Shape_Area","fac_number"
"88","MURIDKE",412,"PUNJAB","SHEIKHUPURA",1.94167806466,949.578587079,1.94167806354,0.0899762354387,23
"89","MURREE",400,"PUNJAB","RAWALPINDI",1.1674013694,384.903634487,1.16740136747,0.0373834065647,12
"90","MUZAFFARGARH",375,"PUNJAB","MUZAFFARGARH",3.87569596861,2232.41857061,3.87569596601,0.208819362273,32
"91","NANKANA SAHAB",376,"PUNJAB","NANKANA SAHIB",2.81182414419,1633.87601116,2.81182414106,0.154208975573,33
"92","NAROWAL",380,"PUNJAB","NAROWAL",1.41311476229,732.930131567,1.41311476685,0.0695530053472,20
"93","NOORPUR",352,"PUNJAB","KHUSHAB",2.35770529337,2401.75161753,2.35770529374,0.228638041638,13
"94","NOWSHERA VIRKHAN",328,"PUNJAB","GUJRANWALA",1.5262022411,881.919645229,1.52620223534,0.0837694784389,25
"95","OKARA",384,"PUNJAB","OKARA",2.19811270868,1248.68094529,2.19811270634,0.117288230741,39
"96","PAK PATTAN",387,"PUNJAB","PAK PATTAN",2.40955020617,1536.43933886,2.40955020532,0.143632580544,24
"97","PASRUR",416,"PUNJAB","SIALKOT",1.8182561578,1022.20627572,1.89875036322,0.0972607312646,33
"98","PATTOKI",346,"PUNJAB","KASUR",1.45208089868,844.634895385,1.45208089605,0.0795171817751,25
"99","PHALIA",364,"PUNJAB","MANDI BAHAUDDIN",1.90946033367,1140.8828145,1.90946033998,0.108891981232,16
"100","PIND DADAN KHAN",341,"PUNJAB","JHELUM",2.22578284353,1347.72350099,2.22578284469,0.129115102506,18
"101","PINDI BHATTIAN",334,"PUNJAB","HAFIZABAD",1.58632297249,1179.65134225,1.58632297196,0.112138564342,19
"102","PINDI GHEB",293,"PUNJAB","ATTOCK",2.3478440407,1544.9147662,2.34784403995,0.149286317059,12
"103","PIPLAN",367,"PUNJAB","MIANWALI",1.64838341894,1197.12073252,1.6483834177,0.114576014895,12
"104","QAIDABAD",353,"PUNJAB","KHUSHAB",1.85278253678,1281.14695243,1.85278254,0.122537654579,11
"105","RAHIM YAR KHAN",390,"PUNJAB","RAHIM YAR KHAN",3.19613528256,2626.68337158,3.19613528595,0.242015708815,37
"106","RAJANPUR",394,"PUNJAB","RAJANPUR",2.88511413783,2718.20427458,2.88511413927,0.252191747352,14
"107","RAWALPINDI",401,"PUNJAB","RAWALPINDI",2.73041636703,1620.55254778,2.73041636994,0.156662062439,28
"108","RENALA KHURD",385,"PUNJAB","OKARA",1.29656963822,624.348656984,1.29656963507,0.0586821187878,21
"109","ROJHAN",395,"PUNJAB","RAJANPUR",2.98832848188,2798.61790342,2.98832848577,0.258689808987,8
"110","SADIQABAD",391,"PUNJAB","RAHIM YAR KHAN",3.34690627885,2546.2114612,3.34690627907,0.234187657067,28
"111","SAFDARABAD",377,"PUNJAB","NANKANA SAHIB",1.37390316715,604.092262341,1.37390316842,0.0572720991987,20
"112","SAHIWAL",407,"PUNJAB","SARGODHA",1.58309796123,759.890241673,1.58309795635,0.0723090025332,11
"113","SAHIWAL_SAHIWAL",404,"PUNJAB","SAHIWAL",2.47041660401,1644.6217452,2.47041660226,0.154299986255,45
"114","SAMBRIAL",417,"PUNJAB","SIALKOT",0.93038272012,361.486892952,0.930382718135,0.0345015695785,13
"115","SAMUNDARI",323,"PUNJAB","FAISALABAD",1.99834499707,869.034385888,1.99834499798,0.0818998719286,31
"116","SARAI ALAMGIR",332,"PUNJAB","GUJRAT",1.30402385078,485.812193152,1.30402384861,0.0466285051914,8
"117","SARGODHA",408,"PUNJAB","SARGODHA",2.67225025812,1457.87583697,2.6722502514,0.138883927065,51
"118","SHAH KOT",378,"PUNJAB","NANKANA SAHIB",0.794801492104,244.432416933,0.794801490731,0.0231343055097,9
"119","SHAHPUR",409,"PUNJAB","SARGODHA",1.55640045413,788.007613057,1.55640045276,0.0752400384685,14
"120","SHAKARGARH",381,"PUNJAB","NAROWAL",1.88544982645,965.570144457,1.88544982779,0.0916775958928,27
"121","SHANGLA HILL",379,"PUNJAB","NANKANA SAHIB",0.985367022193,302.877994057,0.985367022734,0.0287177847956,11
"122","SHARAK PUR",413,"PUNJAB","SHEIKHUPURA",1.04654892947,375.597609276,1.04654892998,0.035484737582,7
"123","SHEIKHUPURA",414,"PUNJAB","SHEIKHUPURA",2.18057511454,1260.02466276,2.1805751113,0.11936723864,34
"124","SHORKOT",338,"PUNJAB","JHANG",2.40354430326,1227.90004748,2.40354430469,0.115646879067,18
"125","SHUJABAD",371,"PUNJAB","MULTAN",1.36544309622,837.926435103,1.36544309362,0.0781807056617,14
"126","SIALKOT",418,"PUNJAB","SIALKOT",1.67129765589,973.159471441,1.98059957331,0.0929130177081,28
"127","SILLANWALI",410,"PUNJAB","SARGODHA",1.76430128771,611.342590105,1.76430128796,0.0580984094791,17
"128","SOHAWA",342,"PUNJAB","JHELUM",2.06169542151,911.996248991,2.06169542141,0.0877252109475,13
"129","TALA GANG",312,"PUNJAB","CHAKWAL",2.91318745663,3161.00813174,2.91318745393,0.304179588086,26
"130","TANDLIANWALA",324,"PUNJAB","FAISALABAD",2.68567283601,1355.2444941,2.68567283347,0.12751031025,30
"131","TAUNSA",318,"PUNJAB","DERA GHAZI KHAN",2.63620583243,2664.5741488,2.63620583273,0.251513980602,17
"132","TAXILA",402,"PUNJAB","RAWALPINDI",0.896920123457,279.556575039,0.896920125034,0.0271365256772,5
"133","TOBA TEK SINGH",421,"PUNJAB","TOBA TEK SINGH",2.28525495695,1270.46165257,2.28525496359,0.119640397247,31
"134","VEHARI",424,"PUNJAB","VEHARI",2.2305024581,1391.50062985,2.2305024555,0.129881336181,31
"135","WAZIRABAD",329,"PUNJAB","GUJRANWALA",1.7500991754,1211.96739087,1.75009917712,0.115534829789,33
"136","YAZMAN",304,"PUNJAB","BAHAWALPUR",8.00816202689,19177.7459282,8.00816202682,1.76881531433,24
"137","ZAFARWAL",382,"PUNJAB","NAROWAL",1.52921059629,641.622802609,1.52652791749,0.0610283651684,18
