"","Intercept","fertility","elevation","poverty","distance_to_cities","Population","child_population","population_density"
"180",-0.00019244501340722,0.000170788393027838,-8.92837815529383e-06,-0.000152228742893094,-0.000126693453688353,0.00150520986431934,0.00147399510061262,0.00862213110974546
"181",0.029735090457595,7.84244906598857e-05,-2.90513549627578e-05,-0.000142555526475531,-0.00015052536687123,0.00104993556730576,0.00105375013904425,0.00326237721016526
"182",0.345976177184685,-0.123783889238303,-0.00989594465414641,-0.0237010305345964,-0.00958457207366674,0.0539889129272106,0.0360791698737616,15.5705747591416
"183",0.0060747328807537,7.7007255206574e-05,1.66018149608887e-05,-0.000129361623597405,-0.00011555115465248,0.00109687418343858,0.00107047968823613,0.0100798571316978
"184",0.323015780861728,-0.132197745656758,-0.00767238621923196,-0.0422612511991941,0.000672150027974848,0.0595933748949555,0.0243286407553499,15.3954907689925
"185",-0.0133477281732934,6.85670457877567e-05,6.68799627728398e-06,-9.94412890880671e-05,-6.96413048411317e-05,0.00106061509792378,0.00101136542850106,0.00263713859576562
"186",0.324383075131373,-0.126650696436295,-0.00445960970707694,-0.0276326506574471,-0.00711459311504042,0.0615701940841448,0.0307683355320596,15.3463217970857
"187",0.29418025205559,-0.109086901049488,-0.00533049347841007,-0.0263403104468358,-0.000802337268601586,0.115181511886749,0.0707420771333865,14.0893048453226
"188",0.020308391514521,0.000106758429199451,-4.36257593021607e-06,-0.000178110139020843,-0.000137652130811757,0.00112381537704758,0.00113283390952824,0.013944268183427
"189",0.281810067383441,-0.106180965701833,-0.000798256067779459,-0.0269364753547471,0.00239831947572838,0.126385675310784,0.079902110950981,13.671604791376
"190",-0.0180856346381729,0.0185947011068369,-0.00143870926304319,-0.0231381838654389,-0.019279992760009,0.0173087146090408,0.01742516352443,0.0569858860968753
"191",0.0213916685599509,0.00106930314754202,0.000226313101653468,-0.00184417155874709,-0.00178768017236436,0.0160331036982133,0.0153770196360152,0.135579504304896
"192",0.304219932771453,-0.12382564748478,-0.000506065732592381,-0.0176925569319261,-0.0029400252727001,0.0745273135018373,0.047271236512853,14.8955765927873
"193",0.0512343016857653,-0.0225850356539058,-0.0220921035347196,-0.0608513863545166,0.0424316050440203,0.424238766405067,0.280477271446199,2.37351133416423
"194",-0.00973527458358537,-0.00371421058975132,-0.00952181991216794,-0.0348831270968277,-0.0226731632806604,-0.00303834301118897,-0.00114089795742128,0.0363231202450417
"195",0.0536803272834972,0.00421802467054224,-0.000588416218578699,-0.00624920109702066,-0.0049932663296871,0.0613869678338257,0.0620455639464045,0.49076719088036
"196",0.336028009577057,-0.139236142897236,-0.00633571412140612,-0.0289866463064573,-0.014850877334835,0.053710661552454,0.0399319939234092,15.4457857907517
"197",-0.0171777056427422,0.0069275795750276,-0.00283909602021957,-0.0071599714645178,-0.00675983441797286,0.00294524463617015,0.00288849710859454,0.030802716357507
"198",-0.0148431367550687,0.000379570340958508,-7.59767799582574e-05,-0.000594999344787046,-0.000409465683244283,-5.04581498863238e-05,-8.07226684670363e-05,0.00242892391519016
"199",0.0701330964492635,-0.00915226806504347,-0.0111022674076208,-0.0592164316319872,0.0114263361330688,0.44337510974937,0.249578874416247,2.4392421835219
"200",0.324247384449752,-0.100763881103817,0.00588556191404844,-0.0235853416018217,-0.00617491380645288,0.111099353610262,0.0529679243272651,14.4244696117629
"201",0.0103586374589823,4.62410183784569e-05,-1.69130798167942e-06,-8.29144596032969e-05,-6.0322155060648e-05,0.000678203639020472,0.000666431260834595,0.0218345650540003
"202",-0.0245577552417478,0.00898292475380151,-0.00253334246671082,-0.018660351455601,-0.0118232847765381,0.000995837596421934,0.000919042012950078,0.0221567104215559
"203",-0.0115101371518786,0.00217530534555544,0.000162442086229873,-0.00263332263938486,-0.00192389596117252,0.0221200494394225,0.0216948896104253,0.121826531085965
"204",0.0294480097997403,0.00229392564284528,0.000197670579882292,-0.00360550525154498,-0.00325460719394184,0.0258481780623054,0.0251190267075726,0.145108470499473
"205",0.0359437637143552,0.00425124869171525,-0.000365596752860575,-0.00905485915769347,-0.0056155567285094,0.0859440541815093,0.0824233257146744,0.639588196951539
