"","DISTRICT","TEHSIL","X.1","PROVINCE","X","Tehsil","OBJECTID","SHAPE_Leng","Area_Sq_Km","Shape_Le_1","Shape_Area","id","fertility","elevation","poverty","night_lights","distance_to_lakes_rivers","malaria_instance","Population","child_population","population_density","radio","electricity","television","mobile_phone","dtp_boolean","card","school_boolean","antenatal_care","age","mothers_age","dtp_number","school_level","wm_urban","hh_urban","ch_urban","urban_to_rural","distance_to_cities","penta3_in_clinic","penta3_out_clinic","OutreachProportion","TotalOutreachCoverage","TotalClinicsCoverage"
"21","CHAKWAL","CHAKWAL",21,"PUNJAB",15,"CHAKWAL",309,2.43162580846,2198.63402934,2.43162580967,0.21162524639,307,5.79824989965592,472.32118226601,0.312416692075667,0.50925699621439,0,0,737022.428455009,67224.957881,3482677.23736876,0.0968660968660969,0.992887624466572,0.821937321937322,0.877667140825036,0.714285714285714,0.315789473684211,0.817,0.934782608695652,2,29.094,2.69512195121951,3.62132352941176,0.371609403254973,0.35656836461126,0.349881796690307,0.359353188185513,31.7678160919545,2694,16045,0.856235658252842,0.23867623730464,0.0400744021999814
"22","CHAKWAL","KALLAR KAHAR",22,"PUNJAB",49,"KALLAR KAHAR",311,1.51871034445,831.659844434,1.51871034369,0.0798594359591,309,4.97022743032457,652.177083333333,0.401969758390759,0.59068751335144,0,0,201663.379429625,18409.977316,2525229.1981239,0.0787746170678337,0.925764192139738,0.72707423580786,0.860262008733624,0.959459459459459,0.5,0.770440251572327,0.958904109589041,2.02955665024631,28.2327044025157,2.84507042253521,3.51020408163265,0,0,0,0,31.7202432667246,647,6595,0.910660038663353,0.358229664643222,0.0351439868118521
"23","CHAKWAL","TALA GANG",23,"PUNJAB",114,"TALA GANG",312,2.91318745663,3161.00813174,2.91318745393,0.304179588086,310,3.43438349979618,455.56345408977,0.478034256962139,0.639735658963521,0,0,595198.162004822,60082.695968,1956732.7503795,0.123430962343096,0.945606694560669,0.715481171548117,0.870292887029289,0.882352941176471,0.388888888888889,0.713836477987421,0.932584269662921,1.82038834951456,28.872641509434,2.71666666666667,3.63215859030837,0.37037037037037,0.375,0.323404255319149,0.356258208563173,46.0530751708427,2041,12842,0.862863669959014,0.213738744460462,0.0339698471767484
"24","CHINIOT","BHAWANA",24,"PUNJAB",12,"BHAWANA",313,1.54797736939,933.525449936,1.54797736906,0.0884537512945,311,9.00301600724623,170.90157480315,0.552538768206752,0.539451494812965,6,0,632850.140117841,63170.751068,7154587.91578906,0.0176600441501104,0.927312775330396,0.451541850220264,0.698237885462555,0.808823529411765,0.448275862068966,0.390784982935154,0.666666666666667,2.05592105263158,28.4829351535836,2.30909090909091,3.12663755458515,0.299093655589124,0.281449893390192,0.257142857142857,0.279228802040724,23.3435534591195,1603,9668,0.857776594800816,0.153045512939887,0.025375667898494
"25","CHINIOT","CHINIOT",25,"PUNJAB",18,"CHINIOT",314,1.6546829257,699.458196472,1.65468292555,0.0663534855522,312,13.5477556724488,181.98121085595,0.43497073045879,0.44437500834465,5,0,467005.435694354,46668.786885,7038144.74564358,0.036741214057508,0.960063897763578,0.562300319488818,0.8256,0.744444444444444,0.537037037037037,0.449026345933562,0.719101123595506,1.97045454545455,28.020618556701,2.28358208955224,3.29081632653061,0.42814667988107,0.428792569659443,0.414545454545455,0.423828234695323,12.269392033543,1521,18301,0.923267076985168,0.392146469225713,0.0325913764107048
"26","DERA GHAZI KHAN","DERA GHAZI KHAN",26,"PUNJAB",24,"DERA GHAZI KHAN",317,3.01918214499,3621.19030989,3.01918214462,0.338753255345,315,9.25829772289303,142.447422258592,0.618525225727067,0.658009737730026,35,0,1803594.7822832,244600.716959,5324213.87492304,0.0991596638655462,0.849706129303107,0.410579345088161,0.779177162048699,0.420924574209246,0.175392670157068,0.390102827763496,0.637096774193548,2.12379110251451,27.6542416452442,2.17919075144509,3.6507413509061,0.386186186186186,0.3312,0.270222222222222,0.329202802802803,38.8336743044188,7835,48007,0.859693420722753,0.196266800019425,0.0320317949080799
"27","DERA GHAZI KHAN","TAUNSA",27,"PUNJAB",116,"TAUNSA",318,2.63620583243,2664.5741488,2.63620583273,0.251513980602,316,3.9857675294623,178.182369146005,0.760767810855358,0.738422671953837,6,0,575750.996748749,74572.084739,2289141.12595525,0.0885122410546139,0.930451127819549,0.446327683615819,0.838649155722326,0.439393939393939,0.169014084507042,0.544715447154472,0.6,2.11627906976744,27.6924119241192,2.56896551724138,3.55223880597015,0.469489414694894,0.415094339622642,0.389721627408994,0.42476846057551,40.2848484848484,3420,19883,0.853237780543278,0.266627922091623,0.0458616654203767
"28","FAISALABAD","CHAK JHUMRA",28,"PUNJAB",14,"CHAK JHUMRA",319,1.03382883415,524.889447645,1.03382883349,0.0497455691759,317,13.7879435527358,189.423023578363,0.429166840242116,0.452661991119385,0,0,417323.469800752,43314.854371,8389158.60677157,0.037037037037037,0.989473684210526,0.792982456140351,0.905263157894737,0.898876404494382,0.58,0.761627906976744,0.937931034482759,1.88385269121813,28.2337209302326,2.7012987012987,3.51145038167939,0.448744769874477,0.460767946577629,0.436915887850467,0.448809534767525,6.95006934812759,461,13507,0.966995990836197,0.311832977304044,0.010643000113805
"29","FAISALABAD","FAISALABAD CITY",29,"PUNJAB",26,"FAISALABAD CITY",320,0.711983252894,200.950290049,0.711983255277,0.0190071083942,318,125.684172964795,183.769230769231,0.357460750987495,0.458514988422394,0,0,3306004.27715914,318990.430656,173935151.449337,0.037344398340249,0.998618784530387,0.795580110497238,0.893572909467864,0.716363636363636,0.537313432835821,0.745308310991957,0.916216216216216,1.98033126293996,28.1233243967828,2.79187817258883,3.5620875824835,0.530944625407166,0.5546875,0.49644128113879,0.527357802181985,0,1647,67631,0.976226219001703,0.212015764425653,0.00516316428869971
"30","FAISALABAD","JARANWALA",30,"PUNJAB",43,"JARANWALA",322,2.2915847202,1733.36550195,2.29158472165,0.163703285004,320,17.2539441114991,186.99531516184,0.505709664861226,0.457436998685201,0,0,1652980.90246013,171679.350798,10097420.478885,0.028971028971029,0.99500998003992,0.738522954091816,0.859140859140859,0.700854700854701,0.4375,0.648521505376344,0.903474903474903,2.07213578500707,28.6317204301075,2.64596273291925,3.41761658031088,0.449116392443632,0.451488952929875,0.435056746532156,0.445220697301888,10.1933560477003,3355,33384,0.908680149160293,0.194455534954113,0.0195422453801537
