"","OBJECTID","PROVINCE","DISTRICT","TEHSIL","SHAPE_Leng","Area_Sq_Km","Shape_Le_1","Shape_Area","id","penta3_in_clinic","penta3_out_clinic"
"360",363,"PUNJAB","MANDI BAHAUDDIN","MANDI BAHAUDDIN",1.3554163592,878.770324106,1.35541635726,0.0840603532713,"360",4124,30223
"361",364,"PUNJAB","MANDI BAHAUDDIN","PHALIA",1.90946033367,1140.8828145,1.90946033998,0.108891981232,"361",1691,21762
"362",365,"PUNJAB","MIANWALI","ISAKHEL",2.92341438718,1883.27458015,2.92341438284,0.18138317281,"362",3251,10631
"363",366,"PUNJAB","MIANWALI","MIANWALI",2.77735101538,2952.13457317,2.77735101746,0.283593037576,"363",3171,20503
"364",367,"PUNJAB","MIANWALI","PIPLAN",1.64838341894,1197.12073252,1.6483834177,0.114576014895,"364",1781,8909
"365",368,"PUNJAB","MULTAN","JALALPUR PIRWALA",1.58360418199,871.275606975,1.58360418294,0.0810897034058,"365",2385,12818
"366",369,"PUNJAB","MULTAN","MULTAN CITY",0.90767468391,285.76531824,0.907674684462,0.0267518025454,"366",2571,50894
"367",370,"PUNJAB","MULTAN","MULTAN SADDAR",3.3057787094,1652.51714946,3.30577871126,0.154616692887,"367",6918,30933
"368",371,"PUNJAB","MULTAN","SHUJABAD",1.36544309622,837.926435103,1.36544309362,0.0781807056617,"368",3299,13281
"369",372,"PUNJAB","MUZAFFARGARH","ALIPUR",2.11452253728,1237.96880365,2.1145225361,0.114990192053,"369",2592,5902
"370",373,"PUNJAB","MUZAFFARGARH","JATOI",1.72291298614,1033.16723336,1.7229129853,0.0962393044272,"370",2343,4413
"371",374,"PUNJAB","MUZAFFARGARH","KOT ADDU",2.80958609351,3165.65535949,2.80958609222,0.297259256235,"371",5830,12940
"372",375,"PUNJAB","MUZAFFARGARH","MUZAFFARGARH",3.87569596861,2232.41857061,3.87569596601,0.208819362273,"372",8279,23483
"373",376,"PUNJAB","NANKANA SAHIB","NANKANA SAHAB",2.81182414419,1633.87601116,2.81182414106,0.154208975573,"373",1606,39399
"374",377,"PUNJAB","NANKANA SAHIB","SAFDARABAD",1.37390316715,604.092262341,1.37390316842,0.0572720991987,"374",2641,15680
"375",378,"PUNJAB","NANKANA SAHIB","SHAH KOT",0.794801492104,244.432416933,0.794801490731,0.0231343055097,"375",1086,10079
"376",379,"PUNJAB","NANKANA SAHIB","SHANGLA HILL",0.985367022193,302.877994057,0.985367022734,0.0287177847956,"376",612,11258
"377",380,"PUNJAB","NAROWAL","NAROWAL",1.41311476229,732.930131567,1.41311476685,0.0695530053472,"377",2139,20929
"378",381,"PUNJAB","NAROWAL","SHAKARGARH",1.88544982645,965.570144457,1.88544982779,0.0916775958928,"378",3666,22252
"379",382,"PUNJAB","NAROWAL","ZAFARWAL",1.52921059629,641.622802609,1.52652791749,0.0610283651684,"379",2685,14896
"380",383,"PUNJAB","OKARA","DEPALPUR",2.93788346197,2560.28307703,2.93788346065,0.239735580389,"380",3453,26971
"381",384,"PUNJAB","OKARA","OKARA",2.19811270868,1248.68094529,2.19811270634,0.117288230741,"381",2011,36698
"382",385,"PUNJAB","OKARA","RENALA KHURD",1.29656963822,624.348656984,1.29656963507,0.0586821187878,"382",1603,14248
"383",386,"PUNJAB","PAK PATTAN","ARIFWALA",2.39439927974,1361.71494823,2.24961725073,0.108238775033,"383",2636,35540
"384",387,"PUNJAB","PAK PATTAN","PAK PATTAN",2.40955020617,1536.43933886,2.40955020532,0.143632580544,"384",1606,36300
"385",388,"PUNJAB","RAHIM YAR KHAN","KHAN PUR",3.51049162345,3064.41486578,3.51049162487,0.282515559213,"385",2870,16161
"386",389,"PUNJAB","RAHIM YAR KHAN","LIAQAT PUR",4.52230198472,4644.39522721,4.52230198127,0.427832750092,"386",3484,18660
"387",390,"PUNJAB","RAHIM YAR KHAN","RAHIM YAR KHAN",3.19613528256,2626.68337158,3.19613528595,0.242015708815,"387",3852,10831
"388",391,"PUNJAB","RAHIM YAR KHAN","SADIQABAD",3.34690627885,2546.2114612,3.34690627907,0.234187657067,"388",3673,13404
