,OBJECTID,PROVINCE,DISTRICT,TEHSIL,SHAPE_Leng,Area_Sq_Km,Shape_Le_1,Shape_Area,id,penta3_in_clinic,penta3_out_clinic,proportion
349,352,PUNJAB,KHUSHAB,NOORPUR,2.357705293,2401.751618,2.357705294,0.228638042,349,431,9911,0.958325276
350,353,PUNJAB,KHUSHAB,QAIDABAD,1.852782537,1281.146952,1.85278254,0.122537655,350,862,11064,0.927720946
351,354,PUNJAB,LAHORE,LAHORE CANTT,1.896885665,1037.438417,1.850643339,0.097904132,351,5151,62539,0.923903088
352,355,PUNJAB,LAHORE,LAHORE CITY,1.788990137,656.331331,1.788990136,0.06193089,352,11025,63504,0.852071006
353,356,PUNJAB,LAYYAH,CHAUBARA,2.259733,2940.547238,2.259733002,0.277324077,353,1677,9393,0.848509485
354,357,PUNJAB,LAYYAH,KAROR LAL ESAN,1.771936617,1417.970671,1.771936618,0.134190706,354,6143,17736,0.742744671
355,358,PUNJAB,LAYYAH,LAYYAH,2.083398146,2022.488508,2.083398145,0.190730582,355,14301,32313,0.693203759
356,359,PUNJAB,LODHRAN,DUNYA PUR,1.797124043,806.7679284,1.797124041,0.075233354,356,3170,15611,0.831212396
357,360,PUNJAB,LODHRAN,KARORPACCA,1.694936498,714.550969,1.694936501,0.066497883,357,1897,24519,0.928187462
358,361,PUNJAB,LODHRAN,LODHRAN,1.886046316,1142.963953,1.886046313,0.106353192,358,4474,27044,0.858049369
359,362,PUNJAB,MANDI BAHAUDDIN,MALAKWAL,1.4936461,749.1371911,1.493646097,0.071601917,359,3439,16404,0.826689513
360,363,PUNJAB,MANDI BAHAUDDIN,MANDI BAHAUDDIN,1.355416359,878.7703241,1.355416357,0.084060353,360,7140,27207,0.792121583
361,364,PUNJAB,MANDI BAHAUDDIN,PHALIA,1.909460334,1140.882815,1.90946034,0.108891981,361,2049,21404,0.912633778
362,365,PUNJAB,MIANWALI,ISAKHEL,2.923414387,1883.27458,2.923414383,0.181383173,362,3732,10150,0.731162657
363,366,PUNJAB,MIANWALI,MIANWALI,2.777351015,2952.134573,2.777351017,0.283593038,363,3500,20174,0.852158486
364,367,PUNJAB,MIANWALI,PIPLAN,1.648383419,1197.120733,1.648383418,0.114576015,364,1897,8793,0.822544434
365,368,PUNJAB,MULTAN,JALALPUR PIRWALA,1.583604182,871.275607,1.583604183,0.081089703,365,2524,12679,0.833980135
366,369,PUNJAB,MULTAN,MULTAN CITY,0.907674684,285.7653182,0.907674684,0.026751803,366,3287,50178,0.938520527
